Architecture,Application,N,User time (seconds),System time (seconds),Percent of CPU this job got,Elapsed (wall clock) time,Maximum resident set size (kbytes)
bare_metal,pi,5000,4.23,0.01,99%,0.04.25,10020
bare_metal,pi,10000,32.22,0.00,99%,0.32.26,10036
bare_metal,pi,15000,83.33,0.00,99%,1.23.41,10208
bare_metal,pi,20000,184.51,0.50,99%,3.05.13,10100
bare_metal,pi,25000,288.25,1.02,99%,4.49.47,10168
bare_metal,mm,500,0.38,0.06,100%,0.00.45,35888
bare_metal,mm,1000,3.48,0.04,99%,0.03.53,53388
bare_metal,mm,1500,55.27,0.10,99%,0.55.43,82648
bare_metal,mm,2000,144.05,0.08,99%,2.24.24,123760
bare_metal,mm,2500,295.68,0.17,99%,4.56.03,176348
docker,pi,5000,6.65,0.00,99%,0.06.67,10516
docker,pi,10000,46.15,0.03,99%,0.46.23,10548
docker,pi,15000,121.99,0.04,99%,2.02.14,10568
docker,pi,20000,272.11,0.33,99%,4.32.73,10540
docker,pi,25000,426.59,0.82,99%,7.07.75,10676
docker,mm,500,0.41,0.04,99%,0.00.46,33896
docker,mm,1000,3.58,0.04,99%,0.03.63,51516
docker,mm,1500,53.46,0.06,99%,0.53.57,80720
docker,mm,2000,133.62,0.08,99%,2.13.82,121884
docker,mm,2500,289.74,0.14,99%,4.50.22,174516
