type_instance,type,value,host,time
buffered,memory,164651008.0,VM10-1-9-207,03:43:16.452337
cached,memory,3809689600.0,VM10-1-9-207,03:43:16.452337
free,memory,3708428288.0,VM10-1-9-207,03:43:16.452337
slab_recl,memory,332820480.0,VM10-1-9-207,03:43:16.452337
slab_unrecl,memory,40927232.0,VM10-1-9-207,03:43:16.452337
used,memory,319139840.0,VM10-1-9-207,03:43:16.452337
buffered,memory,164667392.0,VM10-1-9-207,03:43:24.333492
cached,memory,3809591296.0,VM10-1-9-207,03:43:24.333492
free,memory,3803971584.0,VM10-1-9-207,03:43:24.333492
slab_recl,memory,332709888.0,VM10-1-9-207,03:43:24.333492
slab_unrecl,memory,41021440.0,VM10-1-9-207,03:43:24.333492
used,memory,223694848.0,VM10-1-9-207,03:43:24.333492
buffered,memory,164827136.0,VM10-1-9-207,03:43:34.319539
cached,memory,3809796096.0,VM10-1-9-207,03:43:34.319539
free,memory,3696500736.0,VM10-1-9-207,03:43:34.319539
slab_recl,memory,333213696.0,VM10-1-9-207,03:43:34.319539
slab_unrecl,memory,41938944.0,VM10-1-9-207,03:43:34.319539
used,memory,329379840.0,VM10-1-9-207,03:43:34.319539
buffered,memory,164872192.0,VM10-1-9-207,03:43:44.319872
cached,memory,3811454976.0,VM10-1-9-207,03:43:44.319872
free,memory,3690340352.0,VM10-1-9-207,03:43:44.319872
slab_recl,memory,333176832.0,VM10-1-9-207,03:43:44.319872
slab_unrecl,memory,41521152.0,VM10-1-9-207,03:43:44.319872
used,memory,334290944.0,VM10-1-9-207,03:43:44.319872
buffered,memory,164884480.0,VM10-1-9-207,03:43:54.319521
cached,memory,3811463168.0,VM10-1-9-207,03:43:54.319521
free,memory,3686436864.0,VM10-1-9-207,03:43:54.319521
slab_recl,memory,333082624.0,VM10-1-9-207,03:43:54.319521
slab_unrecl,memory,40992768.0,VM10-1-9-207,03:43:54.319521
used,memory,338796544.0,VM10-1-9-207,03:43:54.319521
buffered,memory,164888576.0,VM10-1-9-207,03:44:04.319530
cached,memory,3811467264.0,VM10-1-9-207,03:44:04.319530
free,memory,3684376576.0,VM10-1-9-207,03:44:04.319530
slab_recl,memory,333070336.0,VM10-1-9-207,03:44:04.319530
slab_unrecl,memory,40828928.0,VM10-1-9-207,03:44:04.319530
used,memory,341024768.0,VM10-1-9-207,03:44:04.319530
buffered,memory,164900864.0,VM10-1-9-207,03:44:14.320281
cached,memory,3811479552.0,VM10-1-9-207,03:44:14.320281
free,memory,3682340864.0,VM10-1-9-207,03:44:14.320281
slab_recl,memory,333041664.0,VM10-1-9-207,03:44:14.320281
slab_unrecl,memory,40759296.0,VM10-1-9-207,03:44:14.320281
used,memory,343134208.0,VM10-1-9-207,03:44:14.320281
buffered,memory,164909056.0,VM10-1-9-207,03:44:24.319592
cached,memory,3811487744.0,VM10-1-9-207,03:44:24.319592
free,memory,3680374784.0,VM10-1-9-207,03:44:24.319592
slab_recl,memory,333041664.0,VM10-1-9-207,03:44:24.319592
slab_unrecl,memory,41074688.0,VM10-1-9-207,03:44:24.319592
used,memory,344768512.0,VM10-1-9-207,03:44:24.319592
buffered,memory,164917248.0,VM10-1-9-207,03:44:34.320094
cached,memory,3811495936.0,VM10-1-9-207,03:44:34.320094
free,memory,3678306304.0,VM10-1-9-207,03:44:34.320094
slab_recl,memory,333033472.0,VM10-1-9-207,03:44:34.320094
slab_unrecl,memory,40804352.0,VM10-1-9-207,03:44:34.320094
used,memory,347099136.0,VM10-1-9-207,03:44:34.320094
buffered,memory,164921344.0,VM10-1-9-207,03:44:44.319619
cached,memory,3811500032.0,VM10-1-9-207,03:44:44.319619
free,memory,3676307456.0,VM10-1-9-207,03:44:44.319619
slab_recl,memory,333041664.0,VM10-1-9-207,03:44:44.319619
slab_unrecl,memory,40685568.0,VM10-1-9-207,03:44:44.319619
used,memory,349200384.0,VM10-1-9-207,03:44:44.319619
buffered,memory,164921344.0,VM10-1-9-207,03:44:54.319615
cached,memory,3811512320.0,VM10-1-9-207,03:44:54.319615
free,memory,3674144768.0,VM10-1-9-207,03:44:54.319615
slab_recl,memory,333037568.0,VM10-1-9-207,03:44:54.319615
slab_unrecl,memory,41070592.0,VM10-1-9-207,03:44:54.319615
used,memory,350969856.0,VM10-1-9-207,03:44:54.319615
buffered,memory,164925440.0,VM10-1-9-207,03:45:04.319515
cached,memory,3811520512.0,VM10-1-9-207,03:45:04.319515
