type_instance,value,type,host,instance,time
user,91526.0,cpu,VM10-1-9-207,0,00:54:22.401874
user,99264.0,cpu,VM10-1-9-207,1,00:54:22.401889
user,97433.0,cpu,VM10-1-9-207,2,00:54:22.401908
user,58349.0,cpu,VM10-1-9-207,3,00:54:22.401911
system,5980.0,cpu,VM10-1-9-207,0,00:54:22.401914
system,7636.0,cpu,VM10-1-9-207,1,00:54:22.401917
system,7491.0,cpu,VM10-1-9-207,2,00:54:22.401918
system,6989.0,cpu,VM10-1-9-207,3,00:54:22.401923
wait,3387.0,cpu,VM10-1-9-207,0,00:54:22.401924
wait,4391.0,cpu,VM10-1-9-207,1,00:54:22.401925
wait,4090.0,cpu,VM10-1-9-207,2,00:54:22.401926
wait,3687.0,cpu,VM10-1-9-207,3,00:54:22.401927
nice,32.0,cpu,VM10-1-9-207,0,00:54:22.401927
nice,0.0,cpu,VM10-1-9-207,1,00:54:22.401932
nice,7516.0,cpu,VM10-1-9-207,2,00:54:22.401933
nice,0.0,cpu,VM10-1-9-207,3,00:54:22.401934
interrupt,0.0,cpu,VM10-1-9-207,0,00:54:22.401935
interrupt,0.0,cpu,VM10-1-9-207,1,00:54:22.401936
interrupt,0.0,cpu,VM10-1-9-207,2,00:54:22.401940
interrupt,0.0,cpu,VM10-1-9-207,3,00:54:22.401941
softirq,219.0,cpu,VM10-1-9-207,0,00:54:22.401942
softirq,117.0,cpu,VM10-1-9-207,1,00:54:22.401943
softirq,223.0,cpu,VM10-1-9-207,2,00:54:22.401943
softirq,214.0,cpu,VM10-1-9-207,3,00:54:22.401948
steal,59.0,cpu,VM10-1-9-207,0,00:54:22.401949
steal,65.0,cpu,VM10-1-9-207,1,00:54:22.401950
steal,230.0,cpu,VM10-1-9-207,2,00:54:22.401951
steal,155.0,cpu,VM10-1-9-207,3,00:54:22.401955
idle,5790646.0,cpu,VM10-1-9-207,0,00:54:22.401956
idle,5779767.0,cpu,VM10-1-9-207,1,00:54:22.401966
idle,5770201.0,cpu,VM10-1-9-207,2,00:54:22.401967
idle,5820697.0,cpu,VM10-1-9-207,3,00:54:22.401968
user,92525.0,cpu,VM10-1-9-207,0,00:54:32.401860
user,99264.0,cpu,VM10-1-9-207,1,00:54:32.401917
user,97434.0,cpu,VM10-1-9-207,2,00:54:32.401944
user,58349.0,cpu,VM10-1-9-207,3,00:54:32.401979
system,5980.0,cpu,VM10-1-9-207,0,00:54:32.402355
system,7637.0,cpu,VM10-1-9-207,1,00:54:32.402405
system,7493.0,cpu,VM10-1-9-207,2,00:54:32.402446
system,6989.0,cpu,VM10-1-9-207,3,00:54:32.402472
wait,3387.0,cpu,VM10-1-9-207,0,00:54:32.402493
wait,4391.0,cpu,VM10-1-9-207,1,00:54:32.402521
wait,4090.0,cpu,VM10-1-9-207,2,00:54:32.402543
wait,3687.0,cpu,VM10-1-9-207,3,00:54:32.402570
nice,32.0,cpu,VM10-1-9-207,0,00:54:32.402590
nice,0.0,cpu,VM10-1-9-207,1,00:54:32.402611
nice,7516.0,cpu,VM10-1-9-207,2,00:54:32.402632
nice,0.0,cpu,VM10-1-9-207,3,00:54:32.402657
interrupt,0.0,cpu,VM10-1-9-207,0,00:54:32.402678
interrupt,0.0,cpu,VM10-1-9-207,1,00:54:32.402699
interrupt,0.0,cpu,VM10-1-9-207,2,00:54:32.402719
interrupt,0.0,cpu,VM10-1-9-207,3,00:54:32.402751
softirq,219.0,cpu,VM10-1-9-207,0,00:54:32.402771
softirq,117.0,cpu,VM10-1-9-207,1,00:54:32.402796
softirq,223.0,cpu,VM10-1-9-207,2,00:54:32.402835
softirq,214.0,cpu,VM10-1-9-207,3,00:54:32.402899
steal,59.0,cpu,VM10-1-9-207,0,00:54:32.402925
steal,65.0,cpu,VM10-1-9-207,1,00:54:32.402946
steal,230.0,cpu,VM10-1-9-207,2,00:54:32.402969
steal,155.0,cpu,VM10-1-9-207,3,00:54:32.403039
idle,5790646.0,cpu,VM10-1-9-207,0,00:54:32.403069
idle,5780766.0,cpu,VM10-1-9-207,1,00:54:32.403119
idle,5771195.0,cpu,VM10-1-9-207,2,00:54:32.403147
idle,5821696.0,cpu,VM10-1-9-207,3,00:54:32.403168
user,93524.0,cpu,VM10-1-9-207,0,00:54:42.401744
user,99264.0,cpu,VM10-1-9-207,1,00:54:42.401758
user,97435.0,cpu,VM10-1-9-207,2,00:54:42.401762
user,58349.0,cpu,VM10-1-9-207,3,00:54:42.401766
system,5982.0,cpu,VM10-1-9-207,0,00:54:42.401769
system,7639.0,cpu,VM10-1-9-207,1,00:54:42.401773
system,7494.0,cpu,VM10-1-9-207,2,00:54:42.401773
system,6989.0,cpu,VM10-1-9-207,3,00:54:42.401774
wait,3387.0,cpu,VM10-1-9-207,0,00:54:42.401775
wait,4391.0,cpu,VM10-1-9-207,1,00:54:42.401775
wait,4091.0,cpu,VM10-1-9-207,2,00:54:42.401776
wait,3687.0,cpu,VM10-1-9-207,3,00:54:42.401777
nice,32.0,cpu,VM10-1-9-207,0,00:54:42.401777
nice,0.0,cpu,VM10-1-9-207,1,00:54:42.401778
nice,7516.0,cpu,VM10-1-9-207,2,00:54:42.401779
nice,0.0,cpu,VM10-1-9-207,3,00:54:42.401779
interrupt,0.0,cpu,VM10-1-9-207,0,00:54:42.401780
interrupt,0.0,cpu,VM10-1-9-207,1,00:54:42.402132
interrupt,0.0,cpu,VM10-1-9-207,2,00:54:42.402134
interrupt,0.0,cpu,VM10-1-9-207,3,00:54:42.402135
softirq,219.0,cpu,VM10-1-9-207,0,00:54:42.402135
softirq,117.0,cpu,VM10-1-9-207,1,00:54:42.402136
softirq,223.0,cpu,VM10-1-9-207,2,00:54:42.402137
softirq,214.0,cpu,VM10-1-9-207,3,00:54:42.402137
steal,59.0,cpu,VM10-1-9-207,0,00:54:42.402138
steal,65.0,cpu,VM10-1-9-207,1,00:54:42.402138
steal,230.0,cpu,VM10-1-9-207,2,00:54:42.402139
steal,155.0,cpu,VM10-1-9-207,3,00:54:42.402139
idle,5790646.0,cpu,VM10-1-9-207,0,00:54:42.402140
idle,5781764.0,cpu,VM10-1-9-207,1,00:54:42.402140
idle,5772192.0,cpu,VM10-1-9-207,2,00:54:42.402141
idle,5822695.0,cpu,VM10-1-9-207,3,00:54:42.402141
user,94522.0,cpu,VM10-1-9-207,0,00:54:52.401841
user,99264.0,cpu,VM10-1-9-207,1,00:54:52.401853
user,97436.0,cpu,VM10-1-9-207,2,00:54:52.401857
user,58349.0,cpu,VM10-1-9-207,3,00:54:52.401861
system,5983.0,cpu,VM10-1-9-207,0,00:54:52.401867
system,7640.0,cpu,VM10-1-9-207,1,00:54:52.401873
system,7496.0,cpu,VM10-1-9-207,2,00:54:52.401874
system,6989.0,cpu,VM10-1-9-207,3,00:54:52.401874
wait,3387.0,cpu,VM10-1-9-207,0,00:54:52.401875
wait,4391.0,cpu,VM10-1-9-207,1,00:54:52.401875
wait,4092.0,cpu,VM10-1-9-207,2,00:54:52.401876
wait,3687.0,cpu,VM10-1-9-207,3,00:54:52.401877
nice,32.0,cpu,VM10-1-9-207,0,00:54:52.401877
nice,0.0,cpu,VM10-1-9-207,1,00:54:52.401878
nice,7516.0,cpu,VM10-1-9-207,2,00:54:52.401878
nice,0.0,cpu,VM10-1-9-207,3,00:54:52.401879
interrupt,0.0,cpu,VM10-1-9-207,0,00:54:52.401880
interrupt,0.0,cpu,VM10-1-9-207,1,00:54:52.401881
interrupt,0.0,cpu,VM10-1-9-207,2,00:54:52.401881
interrupt,0.0,cpu,VM10-1-9-207,3,00:54:52.401882
softirq,219.0,cpu,VM10-1-9-207,0,00:54:52.401882
softirq,117.0,cpu,VM10-1-9-207,1,00:54:52.401886
softirq,223.0,cpu,VM10-1-9-207,2,00:54:52.401887
softirq,214.0,cpu,VM10-1-9-207,3,00:54:52.401888
steal,59.0,cpu,VM10-1-9-207,0,00:54:52.401888
steal,65.0,cpu,VM10-1-9-207,1,00:54:52.401889
steal,230.0,cpu,VM10-1-9-207,2,00:54:52.401890
steal,155.0,cpu,VM10-1-9-207,3,00:54:52.401891
idle,5790646.0,cpu,VM10-1-9-207,0,00:54:52.401891
idle,5782762.0,cpu,VM10-1-9-207,1,00:54:52.401892
idle,5773185.0,cpu,VM10-1-9-207,2,00:54:52.401893
idle,5823694.0,cpu,VM10-1-9-207,3,00:54:52.401893
user,95520.0,cpu,VM10-1-9-207,0,00:55:02.401766
user,99264.0,cpu,VM10-1-9-207,1,00:55:02.401780
user,97437.0,cpu,VM10-1-9-207,2,00:55:02.401795
user,58349.0,cpu,VM10-1-9-207,3,00:55:02.401798
system,5985.0,cpu,VM10-1-9-207,0,00:55:02.401802
system,7640.0,cpu,VM10-1-9-207,1,00:55:02.401809
system,7497.0,cpu,VM10-1-9-207,2,00:55:02.401816
system,6989.0,cpu,VM10-1-9-207,3,00:55:02.401817
wait,3387.0,cpu,VM10-1-9-207,0,00:55:02.401817
wait,4391.0,cpu,VM10-1-9-207,1,00:55:02.401818
wait,4093.0,cpu,VM10-1-9-207,2,00:55:02.401819
wait,3687.0,cpu,VM10-1-9-207,3,00:55:02.401819
nice,32.0,cpu,VM10-1-9-207,0,00:55:02.401823
nice,0.0,cpu,VM10-1-9-207,1,00:55:02.401824
nice,7516.0,cpu,VM10-1-9-207,2,00:55:02.401825
nice,0.0,cpu,VM10-1-9-207,3,00:55:02.401825
interrupt,0.0,cpu,VM10-1-9-207,0,00:55:02.401826
interrupt,0.0,cpu,VM10-1-9-207,1,00:55:02.401831
interrupt,0.0,cpu,VM10-1-9-207,2,00:55:02.401831
interrupt,0.0,cpu,VM10-1-9-207,3,00:55:02.401836
softirq,219.0,cpu,VM10-1-9-207,0,00:55:02.401837
softirq,117.0,cpu,VM10-1-9-207,1,00:55:02.401837
softirq,223.0,cpu,VM10-1-9-207,2,00:55:02.401838
softirq,214.0,cpu,VM10-1-9-207,3,00:55:02.401849
steal,60.0,cpu,VM10-1-9-207,0,00:55:02.401850
steal,65.0,cpu,VM10-1-9-207,1,00:55:02.401850
steal,230.0,cpu,VM10-1-9-207,2,00:55:02.401850
steal,155.0,cpu,VM10-1-9-207,3,00:55:02.401851
idle,5790646.0,cpu,VM10-1-9-207,0,00:55:02.401859
idle,5783761.0,cpu,VM10-1-9-207,1,00:55:02.401860
idle,5774181.0,cpu,VM10-1-9-207,2,00:55:02.401861
idle,5824693.0,cpu,VM10-1-9-207,3,00:55:02.401861
user,96518.0,cpu,VM10-1-9-207,0,00:55:12.401737
user,99264.0,cpu,VM10-1-9-207,1,00:55:12.401751
user,97437.0,cpu,VM10-1-9-207,2,00:55:12.401755
user,58349.0,cpu,VM10-1-9-207,3,00:55:12.401758
system,5988.0,cpu,VM10-1-9-207,0,00:55:12.401762
system,7642.0,cpu,VM10-1-9-207,1,00:55:12.401765
system,7497.0,cpu,VM10-1-9-207,2,00:55:12.401766
system,6989.0,cpu,VM10-1-9-207,3,00:55:12.401766
wait,3387.0,cpu,VM10-1-9-207,0,00:55:12.401767
wait,4391.0,cpu,VM10-1-9-207,1,00:55:12.401767
wait,4094.0,cpu,VM10-1-9-207,2,00:55:12.401768
wait,3687.0,cpu,VM10-1-9-207,3,00:55:12.401768
nice,32.0,cpu,VM10-1-9-207,0,00:55:12.401769
nice,0.0,cpu,VM10-1-9-207,1,00:55:12.401770
nice,7516.0,cpu,VM10-1-9-207,2,00:55:12.401771
nice,0.0,cpu,VM10-1-9-207,3,00:55:12.401771
interrupt,0.0,cpu,VM10-1-9-207,0,00:55:12.401772
interrupt,0.0,cpu,VM10-1-9-207,1,00:55:12.401773
interrupt,0.0,cpu,VM10-1-9-207,2,00:55:12.401773
interrupt,0.0,cpu,VM10-1-9-207,3,00:55:12.401774
softirq,219.0,cpu,VM10-1-9-207,0,00:55:12.401774
softirq,117.0,cpu,VM10-1-9-207,1,00:55:12.401775
softirq,224.0,cpu,VM10-1-9-207,2,00:55:12.401776
softirq,214.0,cpu,VM10-1-9-207,3,00:55:12.401777
steal,60.0,cpu,VM10-1-9-207,0,00:55:12.401778
steal,65.0,cpu,VM10-1-9-207,1,00:55:12.401778
steal,230.0,cpu,VM10-1-9-207,2,00:55:12.401778
steal,155.0,cpu,VM10-1-9-207,3,00:55:12.401779
idle,5790646.0,cpu,VM10-1-9-207,0,00:55:12.401780
idle,5784759.0,cpu,VM10-1-9-207,1,00:55:12.401780
idle,5775178.0,cpu,VM10-1-9-207,2,00:55:12.402130
idle,5825692.0,cpu,VM10-1-9-207,3,00:55:12.402132
user,97455.0,cpu,VM10-1-9-207,0,00:55:22.401761
user,99264.0,cpu,VM10-1-9-207,1,00:55:22.401775
user,97439.0,cpu,VM10-1-9-207,2,00:55:22.401779
user,58412.0,cpu,VM10-1-9-207,3,00:55:22.401782
system,5989.0,cpu,VM10-1-9-207,0,00:55:22.401785
system,7643.0,cpu,VM10-1-9-207,1,00:55:22.401788
system,7498.0,cpu,VM10-1-9-207,2,00:55:22.401789
system,6989.0,cpu,VM10-1-9-207,3,00:55:22.401789
