type,host,value,type_instance,time
memory,VM10-1-9-207,145682432.0,buffered,00:54:12.414451
memory,VM10-1-9-207,3734720512.0,cached,00:54:12.414451
memory,VM10-1-9-207,3912650752.0,free,00:54:12.414451
memory,VM10-1-9-207,320720896.0,slab_recl,00:54:12.414451
memory,VM10-1-9-207,33423360.0,slab_unrecl,00:54:12.414451
memory,VM10-1-9-207,228458496.0,used,00:54:12.414451
memory,VM10-1-9-207,145756160.0,buffered,00:54:22.403026
memory,VM10-1-9-207,3734671360.0,cached,00:54:22.403026
memory,VM10-1-9-207,3907772416.0,free,00:54:22.403026
memory,VM10-1-9-207,320802816.0,slab_recl,00:54:22.403026
memory,VM10-1-9-207,34242560.0,slab_unrecl,00:54:22.403026
memory,VM10-1-9-207,232411136.0,used,00:54:22.403026
memory,VM10-1-9-207,145780736.0,buffered,00:54:32.403079
memory,VM10-1-9-207,3734679552.0,cached,00:54:32.403079
memory,VM10-1-9-207,3907461120.0,free,00:54:32.403079
memory,VM10-1-9-207,320749568.0,slab_recl,00:54:32.403079
memory,VM10-1-9-207,33927168.0,slab_unrecl,00:54:32.403079
memory,VM10-1-9-207,233058304.0,used,00:54:32.403079
memory,VM10-1-9-207,145788928.0,buffered,00:54:42.403362
memory,VM10-1-9-207,3734683648.0,cached,00:54:42.403362
memory,VM10-1-9-207,3907432448.0,free,00:54:42.403362
memory,VM10-1-9-207,320720896.0,slab_recl,00:54:42.403362
memory,VM10-1-9-207,33656832.0,slab_unrecl,00:54:42.403362
memory,VM10-1-9-207,233373696.0,used,00:54:42.403362
memory,VM10-1-9-207,145793024.0,buffered,00:54:52.403365
memory,VM10-1-9-207,3734687744.0,cached,00:54:52.403365
memory,VM10-1-9-207,3907366912.0,free,00:54:52.403365
memory,VM10-1-9-207,320733184.0,slab_recl,00:54:52.403365
memory,VM10-1-9-207,33869824.0,slab_unrecl,00:54:52.403365
memory,VM10-1-9-207,233205760.0,used,00:54:52.403365
memory,VM10-1-9-207,145801216.0,buffered,00:55:02.403020
memory,VM10-1-9-207,3734695936.0,cached,00:55:02.403020
memory,VM10-1-9-207,3907522560.0,free,00:55:02.403020
memory,VM10-1-9-207,320737280.0,slab_recl,00:55:02.403020
memory,VM10-1-9-207,33656832.0,slab_unrecl,00:55:02.403020
memory,VM10-1-9-207,233242624.0,used,00:55:02.403020
memory,VM10-1-9-207,145817600.0,buffered,00:55:12.403068
memory,VM10-1-9-207,3734700032.0,cached,00:55:12.403068
memory,VM10-1-9-207,3907780608.0,free,00:55:12.403068
memory,VM10-1-9-207,320737280.0,slab_recl,00:55:12.403068
memory,VM10-1-9-207,33538048.0,slab_unrecl,00:55:12.403068
memory,VM10-1-9-207,233082880.0,used,00:55:12.403068
memory,VM10-1-9-207,145829888.0,buffered,00:55:22.403019
memory,VM10-1-9-207,3734708224.0,cached,00:55:22.403019
memory,VM10-1-9-207,3907555328.0,free,00:55:22.403019
memory,VM10-1-9-207,320737280.0,slab_recl,00:55:22.403019
memory,VM10-1-9-207,33456128.0,slab_unrecl,00:55:22.403019
memory,VM10-1-9-207,233369600.0,used,00:55:22.403019
memory,VM10-1-9-207,145842176.0,buffered,00:55:32.403013
memory,VM10-1-9-207,3734716416.0,cached,00:55:32.403013
memory,VM10-1-9-207,3907145728.0,free,00:55:32.403013
memory,VM10-1-9-207,320737280.0,slab_recl,00:55:32.403013
memory,VM10-1-9-207,33873920.0,slab_unrecl,00:55:32.403013
memory,VM10-1-9-207,233340928.0,used,00:55:32.403013
memory,VM10-1-9-207,145850368.0,buffered,00:55:42.403031
memory,VM10-1-9-207,3734720512.0,cached,00:55:42.403031
memory,VM10-1-9-207,3907080192.0,free,00:55:42.403031
memory,VM10-1-9-207,320741376.0,slab_recl,00:55:42.403031
memory,VM10-1-9-207,33800192.0,slab_unrecl,00:55:42.403031
memory,VM10-1-9-207,233463808.0,used,00:55:42.403031
memory,VM10-1-9-207,145862656.0,buffered,00:55:52.403362
memory,VM10-1-9-207,3734728704.0,cached,00:55:52.403362
memory,VM10-1-9-207,3907305472.0,free,00:55:52.403362
memory,VM10-1-9-207,320733184.0,slab_recl,00:55:52.403362
memory,VM10-1-9-207,33603584.0,slab_unrecl,00:55:52.403362
memory,VM10-1-9-207,233422848.0,used,00:55:52.403362
memory,VM10-1-9-207,145866752.0,buffered,00:56:02.403029
memory,VM10-1-9-207,3734736896.0,cached,00:56:02.403029
memory,VM10-1-9-207,3906826240.0,free,00:56:02.403029
memory,VM10-1-9-207,320741376.0,slab_recl,00:56:02.403029
memory,VM10-1-9-207,33914880.0,slab_unrecl,00:56:02.403029
memory,VM10-1-9-207,233570304.0,used,00:56:02.403029
memory,VM10-1-9-207,145874944.0,buffered,00:56:12.403018
memory,VM10-1-9-207,3734740992.0,cached,00:56:12.403018
memory,VM10-1-9-207,3907084288.0,free,00:56:12.403018
memory,VM10-1-9-207,320745472.0,slab_recl,00:56:12.403018
memory,VM10-1-9-207,33714176.0,slab_unrecl,00:56:12.403018
memory,VM10-1-9-207,233496576.0,used,00:56:12.403018
memory,VM10-1-9-207,145879040.0,buffered,00:56:22.403034
memory,VM10-1-9-207,3734749184.0,cached,00:56:22.403034
memory,VM10-1-9-207,3907112960.0,free,00:56:22.403034
memory,VM10-1-9-207,320745472.0,slab_recl,00:56:22.403034
memory,VM10-1-9-207,33583104.0,slab_unrecl,00:56:22.403034
memory,VM10-1-9-207,233586688.0,used,00:56:22.403034
memory,VM10-1-9-207,145895424.0,buffered,00:56:32.403105
memory,VM10-1-9-207,3734757376.0,cached,00:56:32.403105
memory,VM10-1-9-207,3907014656.0,free,00:56:32.403105
memory,VM10-1-9-207,320753664.0,slab_recl,00:56:32.403105
memory,VM10-1-9-207,33533952.0,slab_unrecl,00:56:32.403105
memory,VM10-1-9-207,233701376.0,used,00:56:32.403105
memory,VM10-1-9-207,145907712.0,buffered,00:56:42.403073
memory,VM10-1-9-207,3734761472.0,cached,00:56:42.403073
memory,VM10-1-9-207,3906859008.0,free,00:56:42.403073
memory,VM10-1-9-207,320753664.0,slab_recl,00:56:42.403073
memory,VM10-1-9-207,33910784.0,slab_unrecl,00:56:42.403073
memory,VM10-1-9-207,233463808.0,used,00:56:42.403073
memory,VM10-1-9-207,145924096.0,buffered,00:56:52.403110
memory,VM10-1-9-207,3734769664.0,cached,00:56:52.403110
memory,VM10-1-9-207,3906887680.0,free,00:56:52.403110
memory,VM10-1-9-207,320741376.0,slab_recl,00:56:52.403110
memory,VM10-1-9-207,33730560.0,slab_unrecl,00:56:52.403110
memory,VM10-1-9-207,233603072.0,used,00:56:52.403110
memory,VM10-1-9-207,145936384.0,buffered,00:57:02.403129
memory,VM10-1-9-207,3734777856.0,cached,00:57:02.403129
memory,VM10-1-9-207,3907145728.0,free,00:57:02.403129
memory,VM10-1-9-207,320729088.0,slab_recl,00:57:02.403129
memory,VM10-1-9-207,33591296.0,slab_unrecl,00:57:02.403129
memory,VM10-1-9-207,233476096.0,used,00:57:02.403129
memory,VM10-1-9-207,145948672.0,buffered,00:57:12.403091
memory,VM10-1-9-207,3734777856.0,cached,00:57:12.403091
memory,VM10-1-9-207,3906539520.0,free,00:57:12.403091
memory,VM10-1-9-207,320729088.0,slab_recl,00:57:12.403091
memory,VM10-1-9-207,33923072.0,slab_unrecl,00:57:12.403091
memory,VM10-1-9-207,233738240.0,used,00:57:12.403091
memory,VM10-1-9-207,145948672.0,buffered,00:57:22.403025
memory,VM10-1-9-207,3734786048.0,cached,00:57:22.403025
memory,VM10-1-9-207,3906670592.0,free,00:57:22.403025
memory,VM10-1-9-207,320749568.0,slab_recl,00:57:22.403025
memory,VM10-1-9-207,33710080.0,slab_unrecl,00:57:22.403025
memory,VM10-1-9-207,233791488.0,used,00:57:22.403025
memory,VM10-1-9-207,145956864.0,buffered,00:57:32.403046
memory,VM10-1-9-207,3734794240.0,cached,00:57:32.403046
memory,VM10-1-9-207,3906637824.0,free,00:57:32.403046
memory,VM10-1-9-207,320749568.0,slab_recl,00:57:32.403046
memory,VM10-1-9-207,33918976.0,slab_unrecl,00:57:32.403046
memory,VM10-1-9-207,233598976.0,used,00:57:32.403046
memory,VM10-1-9-207,145969152.0,buffered,00:57:42.403066
memory,VM10-1-9-207,3734802432.0,cached,00:57:42.403066
memory,VM10-1-9-207,3906666496.0,free,00:57:42.403066
memory,VM10-1-9-207,320749568.0,slab_recl,00:57:42.403066
memory,VM10-1-9-207,33800192.0,slab_unrecl,00:57:42.403066
memory,VM10-1-9-207,233668608.0,used,00:57:42.403066
memory,VM10-1-9-207,145973248.0,buffered,00:57:52.403038
memory,VM10-1-9-207,3734806528.0,cached,00:57:52.403038
memory,VM10-1-9-207,3906605056.0,free,00:57:52.403038
memory,VM10-1-9-207,320753664.0,slab_recl,00:57:52.403038
memory,VM10-1-9-207,33931264.0,slab_unrecl,00:57:52.403038
memory,VM10-1-9-207,233586688.0,used,00:57:52.403038
memory,VM10-1-9-207,145977344.0,buffered,00:58:02.403066
memory,VM10-1-9-207,3734814720.0,cached,00:58:02.403066
memory,VM10-1-9-207,3906830336.0,free,00:58:02.403066
memory,VM10-1-9-207,320753664.0,slab_recl,00:58:02.403066
memory,VM10-1-9-207,33796096.0,slab_unrecl,00:58:02.403066
memory,VM10-1-9-207,233484288.0,used,00:58:02.403066
memory,VM10-1-9-207,145981440.0,buffered,00:58:12.403056
memory,VM10-1-9-207,3734822912.0,cached,00:58:12.403056
memory,VM10-1-9-207,3906818048.0,free,00:58:12.403056
