instance,time,value,host,type_instance,type
0,01:34:22.766456,144199.0,VM10-1-9-207,user,cpu
1,01:34:22.766463,141774.0,VM10-1-9-207,user,cpu
2,01:34:22.768269,127371.0,VM10-1-9-207,user,cpu
3,01:34:22.768287,148934.0,VM10-1-9-207,user,cpu
0,01:34:22.768319,6273.0,VM10-1-9-207,system,cpu
1,01:34:22.768365,8117.0,VM10-1-9-207,system,cpu
2,01:34:22.768401,7931.0,VM10-1-9-207,system,cpu
3,01:34:22.768405,7331.0,VM10-1-9-207,system,cpu
0,01:34:22.768441,3490.0,VM10-1-9-207,wait,cpu
1,01:34:22.768461,4455.0,VM10-1-9-207,wait,cpu
2,01:34:22.768512,4287.0,VM10-1-9-207,wait,cpu
3,01:34:22.768516,3710.0,VM10-1-9-207,wait,cpu
0,01:34:22.768590,32.0,VM10-1-9-207,nice,cpu
1,01:34:22.768851,0.0,VM10-1-9-207,nice,cpu
2,01:34:22.768879,7516.0,VM10-1-9-207,nice,cpu
3,01:34:22.768883,0.0,VM10-1-9-207,nice,cpu
0,01:34:22.768968,0.0,VM10-1-9-207,interrupt,cpu
1,01:34:22.769007,0.0,VM10-1-9-207,interrupt,cpu
2,01:34:22.769125,0.0,VM10-1-9-207,interrupt,cpu
3,01:34:22.769129,0.0,VM10-1-9-207,interrupt,cpu
0,01:34:22.769170,245.0,VM10-1-9-207,softirq,cpu
1,01:34:22.769213,126.0,VM10-1-9-207,softirq,cpu
2,01:34:22.769274,239.0,VM10-1-9-207,softirq,cpu
3,01:34:22.769278,236.0,VM10-1-9-207,softirq,cpu
0,01:34:22.769317,72.0,VM10-1-9-207,steal,cpu
1,01:34:22.769358,74.0,VM10-1-9-207,steal,cpu
2,01:34:22.769437,242.0,VM10-1-9-207,steal,cpu
3,01:34:22.769441,179.0,VM10-1-9-207,steal,cpu
0,01:34:22.769484,5977373.0,VM10-1-9-207,idle,cpu
1,01:34:22.769524,5976624.0,VM10-1-9-207,idle,cpu
2,01:34:22.769547,5979291.0,VM10-1-9-207,idle,cpu
3,01:34:22.769551,5969554.0,VM10-1-9-207,idle,cpu
0,01:34:32.766418,145199.0,VM10-1-9-207,user,cpu
1,01:34:32.766451,141774.0,VM10-1-9-207,user,cpu
2,01:34:32.766455,127372.0,VM10-1-9-207,user,cpu
3,01:34:32.766522,148934.0,VM10-1-9-207,user,cpu
0,01:34:32.766533,6274.0,VM10-1-9-207,system,cpu
1,01:34:32.766550,8117.0,VM10-1-9-207,system,cpu
2,01:34:32.766565,7931.0,VM10-1-9-207,system,cpu
3,01:34:32.766609,7332.0,VM10-1-9-207,system,cpu
0,01:34:32.766645,3490.0,VM10-1-9-207,wait,cpu
1,01:34:32.766656,4455.0,VM10-1-9-207,wait,cpu
2,01:34:32.766691,4288.0,VM10-1-9-207,wait,cpu
3,01:34:32.766695,3710.0,VM10-1-9-207,wait,cpu
0,01:34:32.766701,32.0,VM10-1-9-207,nice,cpu
1,01:34:32.766715,0.0,VM10-1-9-207,nice,cpu
2,01:34:32.766778,7516.0,VM10-1-9-207,nice,cpu
3,01:34:32.766800,0.0,VM10-1-9-207,nice,cpu
0,01:34:32.766821,0.0,VM10-1-9-207,interrupt,cpu
1,01:34:32.766828,0.0,VM10-1-9-207,interrupt,cpu
2,01:34:32.766838,0.0,VM10-1-9-207,interrupt,cpu
3,01:34:32.766841,0.0,VM10-1-9-207,interrupt,cpu
0,01:34:32.766885,245.0,VM10-1-9-207,softirq,cpu
1,01:34:32.766907,126.0,VM10-1-9-207,softirq,cpu
2,01:34:32.766913,239.0,VM10-1-9-207,softirq,cpu
3,01:34:32.766942,236.0,VM10-1-9-207,softirq,cpu
0,01:34:32.766948,72.0,VM10-1-9-207,steal,cpu
1,01:34:32.766956,74.0,VM10-1-9-207,steal,cpu
2,01:34:32.766994,242.0,VM10-1-9-207,steal,cpu
3,01:34:32.767007,179.0,VM10-1-9-207,steal,cpu
0,01:34:32.767019,5977373.0,VM10-1-9-207,idle,cpu
1,01:34:32.767030,5977624.0,VM10-1-9-207,idle,cpu
2,01:34:32.767044,5980288.0,VM10-1-9-207,idle,cpu
3,01:34:32.767096,5970550.0,VM10-1-9-207,idle,cpu
0,01:34:42.766459,146199.0,VM10-1-9-207,user,cpu
1,01:34:42.766481,141774.0,VM10-1-9-207,user,cpu
2,01:34:42.767046,127373.0,VM10-1-9-207,user,cpu
3,01:34:42.767089,148935.0,VM10-1-9-207,user,cpu
0,01:34:42.767094,6274.0,VM10-1-9-207,system,cpu
1,01:34:42.767702,8117.0,VM10-1-9-207,system,cpu
