host,time,type,value,type_instance
VM10-1-9-207,02:20:02.737539,memory,155471872.0,buffered
VM10-1-9-207,02:20:02.737539,memory,3774967808.0,cached
VM10-1-9-207,02:20:02.737539,memory,3877404672.0,free
VM10-1-9-207,02:20:02.737539,memory,326565888.0,slab_recl
VM10-1-9-207,02:20:02.737539,memory,37228544.0,slab_unrecl
VM10-1-9-207,02:20:02.737539,memory,204017664.0,used
VM10-1-9-207,02:20:12.727013,memory,155557888.0,buffered
VM10-1-9-207,02:20:12.727013,memory,3775016960.0,cached
VM10-1-9-207,02:20:12.727013,memory,3873247232.0,free
VM10-1-9-207,02:20:12.727013,memory,326676480.0,slab_recl
VM10-1-9-207,02:20:12.727013,memory,37355520.0,slab_unrecl
VM10-1-9-207,02:20:12.727013,memory,207802368.0,used
