Architecture,Application,N,User time (seconds),System time (seconds),Percent of CPU this job got,Elapsed (wall clock) time,Maximum resident set size (kbytes)
bare_metal,pi,5000,4.15,0.01,99%,0.04.17,10080
bare_metal,pi,10000,30.80,0.01,99%,0.30.84,10072
bare_metal,pi,15000,83.07,0.00,99%,1.23.16,10164
bare_metal,pi,20000,184.86,0.46,99%,3.05.45,10300
bare_metal,pi,25000,287.46,0.98,99%,4.48.56,10340
bare_metal,mm,500,0.36,0.04,99%,0.00.40,35788
bare_metal,mm,1000,3.72,0.05,99%,0.03.79,53584
bare_metal,mm,1500,57.50,0.03,99%,0.57.57,82636
bare_metal,mm,2000,152.10,0.08,99%,2.32.32,123876
bare_metal,mm,2500,302.46,0.08,99%,5.02.81,176500
docker,pi,5000,6.62,0.02,99%,0.06.65,10524
docker,pi,10000,45.73,0.03,99%,0.45.81,10524
docker,pi,15000,122.70,0.03,99%,2.02.89,10532
docker,pi,20000,272.42,0.37,99%,4.33.06,10580
docker,pi,25000,424.07,0.86,99%,7.05.30,10572
docker,mm,500,0.40,0.04,99%,0.00.44,34116
docker,mm,1000,3.45,0.02,99%,0.03.48,51800
docker,mm,1500,56.59,0.07,99%,0.56.75,80944
docker,mm,2000,141.55,0.09,99%,2.21.77,121684
docker,mm,2500,294.20,0.16,99%,4.54.59,174444
