type_instance,value,type,host,instance,time
user,117652.0,cpu,VM10-1-9-207,0,01:03:36.265142
user,114552.0,cpu,VM10-1-9-207,1,01:03:36.266136
user,98489.0,cpu,VM10-1-9-207,2,01:03:36.275805
user,65206.0,cpu,VM10-1-9-207,3,01:03:36.275824
system,6035.0,cpu,VM10-1-9-207,0,01:03:36.275844
system,7778.0,cpu,VM10-1-9-207,1,01:03:36.275845
system,7570.0,cpu,VM10-1-9-207,2,01:03:36.275845
system,7031.0,cpu,VM10-1-9-207,3,01:03:36.275846
wait,3421.0,cpu,VM10-1-9-207,0,01:03:36.275850
wait,4392.0,cpu,VM10-1-9-207,1,01:03:36.275851
wait,4135.0,cpu,VM10-1-9-207,2,01:03:36.275851
wait,3690.0,cpu,VM10-1-9-207,3,01:03:36.275852
nice,32.0,cpu,VM10-1-9-207,0,01:03:36.275852
nice,0.0,cpu,VM10-1-9-207,1,01:03:36.275852
nice,7516.0,cpu,VM10-1-9-207,2,01:03:36.275857
nice,0.0,cpu,VM10-1-9-207,3,01:03:36.275857
interrupt,0.0,cpu,VM10-1-9-207,0,01:03:36.275858
interrupt,0.0,cpu,VM10-1-9-207,1,01:03:36.275858
interrupt,0.0,cpu,VM10-1-9-207,2,01:03:36.275859
interrupt,0.0,cpu,VM10-1-9-207,3,01:03:36.275863
softirq,227.0,cpu,VM10-1-9-207,0,01:03:36.275864
softirq,118.0,cpu,VM10-1-9-207,1,01:03:36.275864
softirq,229.0,cpu,VM10-1-9-207,2,01:03:36.275865
softirq,218.0,cpu,VM10-1-9-207,3,01:03:36.275865
steal,65.0,cpu,VM10-1-9-207,0,01:03:36.275870
steal,67.0,cpu,VM10-1-9-207,1,01:03:36.275871
steal,231.0,cpu,VM10-1-9-207,2,01:03:36.275871
steal,159.0,cpu,VM10-1-9-207,3,01:03:36.275872
idle,5819770.0,cpu,VM10-1-9-207,0,01:03:36.275872
idle,5819701.0,cpu,VM10-1-9-207,1,01:03:36.275873
idle,5824304.0,cpu,VM10-1-9-207,2,01:03:36.275877
idle,5869109.0,cpu,VM10-1-9-207,3,01:03:36.275878
user,117652.0,cpu,VM10-1-9-207,0,01:03:46.265120
user,114553.0,cpu,VM10-1-9-207,1,01:03:46.266826
user,98489.0,cpu,VM10-1-9-207,2,01:03:46.266850
user,66205.0,cpu,VM10-1-9-207,3,01:03:46.266868
system,6035.0,cpu,VM10-1-9-207,0,01:03:46.266878
system,7780.0,cpu,VM10-1-9-207,1,01:03:46.266986
system,7571.0,cpu,VM10-1-9-207,2,01:03:46.267018
system,7032.0,cpu,VM10-1-9-207,3,01:03:46.267238
wait,3421.0,cpu,VM10-1-9-207,0,01:03:46.268497
wait,4393.0,cpu,VM10-1-9-207,1,01:03:46.268499
wait,4136.0,cpu,VM10-1-9-207,2,01:03:46.268499
wait,3690.0,cpu,VM10-1-9-207,3,01:03:46.268501
