type,host,value,type_instance,time
memory,VM10-1-9-207,146022400.0,buffered,00:59:12.403063
memory,VM10-1-9-207,3734867968.0,cached,00:59:12.403063
memory,VM10-1-9-207,3911004160.0,free,00:59:12.403063
memory,VM10-1-9-207,320745472.0,slab_recl,00:59:12.403063
memory,VM10-1-9-207,33947648.0,slab_unrecl,00:59:12.403063
memory,VM10-1-9-207,229068800.0,used,00:59:12.403063
memory,VM10-1-9-207,146034688.0,buffered,00:59:14.068221
memory,VM10-1-9-207,3743137792.0,cached,00:59:14.068221
memory,VM10-1-9-207,3902615552.0,free,00:59:14.068221
memory,VM10-1-9-207,320786432.0,slab_recl,00:59:14.068221
memory,VM10-1-9-207,34045952.0,slab_unrecl,00:59:14.068221
memory,VM10-1-9-207,229036032.0,used,00:59:14.068221
memory,VM10-1-9-207,146075648.0,buffered,00:59:24.056589
memory,VM10-1-9-207,3743195136.0,cached,00:59:24.056589
memory,VM10-1-9-207,3902246912.0,free,00:59:24.056589
memory,VM10-1-9-207,320823296.0,slab_recl,00:59:24.056589
memory,VM10-1-9-207,34062336.0,slab_unrecl,00:59:24.056589
memory,VM10-1-9-207,229253120.0,used,00:59:24.056589
