instance,time,value,host,type_instance,type
1,02:14:15.121516,90.0,VM10-1-9-207,steal,cpu
2,02:14:15.121517,256.0,VM10-1-9-207,steal,cpu
3,02:14:15.121518,199.0,VM10-1-9-207,steal,cpu
0,02:14:15.121519,6173223.0,VM10-1-9-207,idle,cpu
1,02:14:15.121520,6127464.0,VM10-1-9-207,idle,cpu
2,02:14:15.121521,6160326.0,VM10-1-9-207,idle,cpu
3,02:14:15.121522,6177758.0,VM10-1-9-207,idle,cpu
0,02:14:29.806420,186940.0,VM10-1-9-207,user,cpu
1,02:14:29.806448,229604.0,VM10-1-9-207,user,cpu
2,02:14:29.806458,184777.0,VM10-1-9-207,user,cpu
3,02:14:29.806479,179542.0,VM10-1-9-207,user,cpu
0,02:14:29.806492,6643.0,VM10-1-9-207,system,cpu
1,02:14:29.806500,8511.0,VM10-1-9-207,system,cpu
2,02:14:29.806514,8363.0,VM10-1-9-207,system,cpu
3,02:14:29.806515,7710.0,VM10-1-9-207,system,cpu
0,02:14:29.806532,3599.0,VM10-1-9-207,wait,cpu
1,02:14:29.806534,4492.0,VM10-1-9-207,wait,cpu
2,02:14:29.806534,4399.0,VM10-1-9-207,wait,cpu
3,02:14:29.806535,3850.0,VM10-1-9-207,wait,cpu
0,02:14:29.806536,32.0,VM10-1-9-207,nice,cpu
1,02:14:29.806536,0.0,VM10-1-9-207,nice,cpu
2,02:14:29.806544,7516.0,VM10-1-9-207,nice,cpu
3,02:14:29.806546,0.0,VM10-1-9-207,nice,cpu
0,02:14:29.806547,0.0,VM10-1-9-207,interrupt,cpu
1,02:14:29.806547,0.0,VM10-1-9-207,interrupt,cpu
2,02:14:29.806548,0.0,VM10-1-9-207,interrupt,cpu
3,02:14:29.806561,0.0,VM10-1-9-207,interrupt,cpu
0,02:14:29.806564,269.0,VM10-1-9-207,softirq,cpu
1,02:14:29.806564,137.0,VM10-1-9-207,softirq,cpu
2,02:14:29.806565,252.0,VM10-1-9-207,softirq,cpu
3,02:14:29.806566,249.0,VM10-1-9-207,softirq,cpu
0,02:14:29.806566,80.0,VM10-1-9-207,steal,cpu
1,02:14:29.806576,90.0,VM10-1-9-207,steal,cpu
2,02:14:29.806578,256.0,VM10-1-9-207,steal,cpu
3,02:14:29.806578,199.0,VM10-1-9-207,steal,cpu
0,02:14:29.806579,6174666.0,VM10-1-9-207,idle,cpu
