host,time,type_instance,value,type
VM10-1-9-207,02:10:15.542670,buffered,153939968.0,memory
VM10-1-9-207,02:10:15.542670,cached,3767070720.0,memory
VM10-1-9-207,02:10:15.542670,free,3880349696.0,memory
VM10-1-9-207,02:10:15.542670,slab_recl,326041600.0,memory
VM10-1-9-207,02:10:15.542670,slab_unrecl,38076416.0,memory
VM10-1-9-207,02:10:15.542670,used,210178048.0,memory
VM10-1-9-207,02:10:18.902153,buffered,153968640.0,memory
VM10-1-9-207,02:10:18.902153,cached,3767087104.0,memory
VM10-1-9-207,02:10:18.902153,free,3881938944.0,memory
VM10-1-9-207,02:10:18.902153,slab_recl,326021120.0,memory
VM10-1-9-207,02:10:18.902153,slab_unrecl,37892096.0,memory
VM10-1-9-207,02:10:18.902153,used,208748544.0,memory
VM10-1-9-207,02:10:28.893317,buffered,154165248.0,memory
VM10-1-9-207,02:10:28.893317,cached,3767844864.0,memory
VM10-1-9-207,02:10:28.893317,free,3814821888.0,memory
VM10-1-9-207,02:10:28.893317,slab_recl,326471680.0,memory
VM10-1-9-207,02:10:28.893317,slab_unrecl,38297600.0,memory
VM10-1-9-207,02:10:28.893317,used,274055168.0,memory
