type,host,time,type_instance,instance,value
cpu,VM10-1-9-207,00:40:55.599428,user,0,77822.0
cpu,VM10-1-9-207,00:40:55.599439,user,1,77500.0
cpu,VM10-1-9-207,00:40:55.599446,user,2,73083.0
cpu,VM10-1-9-207,00:40:55.599455,user,3,45155.0
cpu,VM10-1-9-207,00:40:55.599458,system,0,5898.0
cpu,VM10-1-9-207,00:40:55.599462,system,1,7497.0
cpu,VM10-1-9-207,00:40:55.599463,system,2,7328.0
cpu,VM10-1-9-207,00:40:55.599463,system,3,6925.0
cpu,VM10-1-9-207,00:40:55.599464,wait,0,3367.0
cpu,VM10-1-9-207,00:40:55.599464,wait,1,4384.0
cpu,VM10-1-9-207,00:40:55.599465,wait,2,4031.0
cpu,VM10-1-9-207,00:40:55.599465,wait,3,3669.0
cpu,VM10-1-9-207,00:40:55.599466,nice,0,32.0
cpu,VM10-1-9-207,00:40:55.599467,nice,1,0.0
cpu,VM10-1-9-207,00:40:55.599467,nice,2,7516.0
cpu,VM10-1-9-207,00:40:55.599475,nice,3,0.0
cpu,VM10-1-9-207,00:40:55.599476,interrupt,0,0.0
cpu,VM10-1-9-207,00:40:55.599477,interrupt,1,0.0
cpu,VM10-1-9-207,00:40:55.599477,interrupt,2,0.0
cpu,VM10-1-9-207,00:40:55.599477,interrupt,3,0.0
cpu,VM10-1-9-207,00:40:55.599481,softirq,0,213.0
cpu,VM10-1-9-207,00:40:55.599485,softirq,1,116.0
cpu,VM10-1-9-207,00:40:55.599486,softirq,2,221.0
cpu,VM10-1-9-207,00:40:55.599486,softirq,3,196.0
cpu,VM10-1-9-207,00:40:55.599487,steal,0,56.0
cpu,VM10-1-9-207,00:40:55.599487,steal,1,62.0
cpu,VM10-1-9-207,00:40:55.599491,steal,2,224.0
cpu,VM10-1-9-207,00:40:55.599492,steal,3,146.0
cpu,VM10-1-9-207,00:40:55.599492,idle,0,5723828.0
cpu,VM10-1-9-207,00:40:55.599493,idle,1,5721074.0
cpu,VM10-1-9-207,00:40:55.599493,idle,2,5714203.0
cpu,VM10-1-9-207,00:40:55.599499,idle,3,5753392.0
cpu,VM10-1-9-207,00:41:05.599456,user,0,78821.0
cpu,VM10-1-9-207,00:41:05.599472,user,1,77501.0
cpu,VM10-1-9-207,00:41:05.599477,user,2,73084.0
cpu,VM10-1-9-207,00:41:05.599481,user,3,45156.0
cpu,VM10-1-9-207,00:41:05.599485,system,0,5898.0
