type,type_instance,host,time,value
memory,buffered,VM10-1-9-207,00:39:07.518456,143523840.0
memory,cached,VM10-1-9-207,00:39:07.518456,3724324864.0
memory,free,VM10-1-9-207,00:39:07.518456,3924865024.0
memory,slab_recl,VM10-1-9-207,00:39:07.518456,319381504.0
memory,slab_unrecl,VM10-1-9-207,00:39:07.518456,33484800.0
memory,used,VM10-1-9-207,00:39:07.518456,230076416.0
memory,buffered,VM10-1-9-207,00:39:08.689532,143544320.0
memory,cached,VM10-1-9-207,00:39:08.689532,3724251136.0
memory,free,VM10-1-9-207,00:39:08.689532,3925221376.0
memory,slab_recl,VM10-1-9-207,00:39:08.689532,319479808.0
memory,slab_unrecl,VM10-1-9-207,00:39:08.689532,33828864.0
memory,used,VM10-1-9-207,00:39:08.689532,229330944.0
