type,host,time,type_instance,instance,value
cpu,VM10-1-9-207,00:09:26.243210,user,0,18917.0
cpu,VM10-1-9-207,00:09:26.243232,user,1,27386.0
cpu,VM10-1-9-207,00:09:26.243377,user,2,31304.0
cpu,VM10-1-9-207,00:09:26.243384,user,3,24358.0
cpu,VM10-1-9-207,00:09:26.243405,system,0,5576.0
cpu,VM10-1-9-207,00:09:26.243424,system,1,7190.0
cpu,VM10-1-9-207,00:09:26.243451,system,2,6918.0
cpu,VM10-1-9-207,00:09:26.243604,system,3,6594.0
cpu,VM10-1-9-207,00:09:26.243606,wait,0,3280.0
cpu,VM10-1-9-207,00:09:26.243607,wait,1,4365.0
cpu,VM10-1-9-207,00:09:26.243609,wait,2,3985.0
cpu,VM10-1-9-207,00:09:26.243611,wait,3,3551.0
cpu,VM10-1-9-207,00:09:26.243612,nice,0,32.0
cpu,VM10-1-9-207,00:09:26.243613,nice,1,0.0
cpu,VM10-1-9-207,00:09:26.243614,nice,2,7516.0
cpu,VM10-1-9-207,00:09:26.243615,nice,3,0.0
cpu,VM10-1-9-207,00:09:26.243617,interrupt,0,0.0
cpu,VM10-1-9-207,00:09:26.243618,interrupt,1,0.0
cpu,VM10-1-9-207,00:09:26.243620,interrupt,2,0.0
cpu,VM10-1-9-207,00:09:26.243621,interrupt,3,0.0
cpu,VM10-1-9-207,00:09:26.243622,softirq,0,188.0
cpu,VM10-1-9-207,00:09:26.243624,softirq,1,104.0
cpu,VM10-1-9-207,00:09:26.243625,softirq,2,213.0
cpu,VM10-1-9-207,00:09:26.243626,softirq,3,173.0
cpu,VM10-1-9-207,00:09:26.243627,steal,0,36.0
cpu,VM10-1-9-207,00:09:26.243628,steal,1,52.0
cpu,VM10-1-9-207,00:09:26.243629,steal,2,216.0
cpu,VM10-1-9-207,00:09:26.243631,steal,3,132.0
cpu,VM10-1-9-207,00:09:26.243632,idle,0,5594351.0
cpu,VM10-1-9-207,00:09:26.243634,idle,1,5582700.0
cpu,VM10-1-9-207,00:09:26.243635,idle,2,5567706.0
cpu,VM10-1-9-207,00:09:26.243636,idle,3,5585908.0
cpu,VM10-1-9-207,00:09:36.243107,user,0,18918.0
cpu,VM10-1-9-207,00:09:36.243130,user,1,27388.0
cpu,VM10-1-9-207,00:09:36.243145,user,2,31304.0
cpu,VM10-1-9-207,00:09:36.243154,user,3,25353.0
cpu,VM10-1-9-207,00:09:36.243255,system,0,5577.0
cpu,VM10-1-9-207,00:09:36.243262,system,1,7190.0
cpu,VM10-1-9-207,00:09:36.243268,system,2,6918.0
cpu,VM10-1-9-207,00:09:36.243278,system,3,6597.0
cpu,VM10-1-9-207,00:09:36.243284,wait,0,3283.0
cpu,VM10-1-9-207,00:09:36.243321,wait,1,4365.0
cpu,VM10-1-9-207,00:09:36.243322,wait,2,3986.0
cpu,VM10-1-9-207,00:09:36.243350,wait,3,3551.0
cpu,VM10-1-9-207,00:09:36.243374,nice,0,32.0
cpu,VM10-1-9-207,00:09:36.243384,nice,1,0.0
cpu,VM10-1-9-207,00:09:36.243412,nice,2,7516.0
cpu,VM10-1-9-207,00:09:36.243565,nice,3,0.0
cpu,VM10-1-9-207,00:09:36.243581,interrupt,0,0.0
cpu,VM10-1-9-207,00:09:36.243582,interrupt,1,0.0
cpu,VM10-1-9-207,00:09:36.243582,interrupt,2,0.0
cpu,VM10-1-9-207,00:09:36.243583,interrupt,3,0.0
cpu,VM10-1-9-207,00:09:36.243583,softirq,0,188.0
cpu,VM10-1-9-207,00:09:36.243584,softirq,1,104.0
cpu,VM10-1-9-207,00:09:36.243625,softirq,2,214.0
cpu,VM10-1-9-207,00:09:36.243626,softirq,3,173.0
cpu,VM10-1-9-207,00:09:36.243627,steal,0,36.0
cpu,VM10-1-9-207,00:09:36.243627,steal,1,52.0
cpu,VM10-1-9-207,00:09:36.243628,steal,2,216.0
cpu,VM10-1-9-207,00:09:36.243629,steal,3,132.0
cpu,VM10-1-9-207,00:09:36.243629,idle,0,5595344.0
cpu,VM10-1-9-207,00:09:36.243630,idle,1,5583698.0
cpu,VM10-1-9-207,00:09:36.243631,idle,2,5568704.0
cpu,VM10-1-9-207,00:09:36.243631,idle,3,5585909.0
cpu,VM10-1-9-207,00:09:46.243098,user,0,18919.0
cpu,VM10-1-9-207,00:09:46.243113,user,1,27388.0
cpu,VM10-1-9-207,00:09:46.243142,user,2,31305.0
