type,type_instance,host,time,value
memory,buffered,VM10-1-9-207,00:04:24.393466,140513280.0
memory,cached,VM10-1-9-207,00:04:24.393466,3712733184.0
memory,free,VM10-1-9-207,00:04:24.393466,3947380736.0
memory,slab_recl,VM10-1-9-207,00:04:24.393466,317779968.0
memory,slab_unrecl,VM10-1-9-207,00:04:24.393466,32706560.0
memory,used,VM10-1-9-207,00:04:24.393466,224542720.0
memory,buffered,VM10-1-9-207,00:04:34.379105,140591104.0
memory,cached,VM10-1-9-207,00:04:34.379105,3712741376.0
memory,free,VM10-1-9-207,00:04:34.379105,3942948864.0
memory,slab_recl,VM10-1-9-207,00:04:34.379105,317784064.0
memory,slab_unrecl,VM10-1-9-207,00:04:34.379105,32645120.0
memory,used,VM10-1-9-207,00:04:34.379105,228945920.0
memory,buffered,VM10-1-9-207,00:04:44.379203,140615680.0
memory,cached,VM10-1-9-207,00:04:44.379203,3712749568.0
memory,free,VM10-1-9-207,00:04:44.379203,3942621184.0
memory,slab_recl,VM10-1-9-207,00:04:44.379203,317706240.0
memory,slab_unrecl,VM10-1-9-207,00:04:44.379203,32604160.0
memory,used,VM10-1-9-207,00:04:44.379203,229359616.0
memory,buffered,VM10-1-9-207,00:04:54.378887,140623872.0
memory,cached,VM10-1-9-207,00:04:54.378887,3712753664.0
memory,free,VM10-1-9-207,00:04:54.378887,3943006208.0
memory,slab_recl,VM10-1-9-207,00:04:54.378887,317693952.0
memory,slab_unrecl,VM10-1-9-207,00:04:54.378887,32354304.0
memory,used,VM10-1-9-207,00:04:54.378887,229224448.0
memory,buffered,VM10-1-9-207,00:05:04.378851,140640256.0
memory,cached,VM10-1-9-207,00:05:04.378851,3712761856.0
memory,free,VM10-1-9-207,00:05:04.378851,3942686720.0
memory,slab_recl,VM10-1-9-207,00:05:04.378851,317677568.0
memory,slab_unrecl,VM10-1-9-207,00:05:04.378851,32546816.0
memory,used,VM10-1-9-207,00:05:04.378851,229343232.0
memory,buffered,VM10-1-9-207,00:05:14.378815,140652544.0
memory,cached,VM10-1-9-207,00:05:14.378815,3712770048.0
memory,free,VM10-1-9-207,00:05:14.378815,3942588416.0
memory,slab_recl,VM10-1-9-207,00:05:14.378815,317685760.0
memory,slab_unrecl,VM10-1-9-207,00:05:14.378815,32423936.0
memory,used,VM10-1-9-207,00:05:14.378815,229535744.0
memory,buffered,VM10-1-9-207,00:05:24.378924,140656640.0
memory,cached,VM10-1-9-207,00:05:24.378924,3712774144.0
memory,free,VM10-1-9-207,00:05:24.378924,3942686720.0
memory,slab_recl,VM10-1-9-207,00:05:24.378924,317681664.0
memory,slab_unrecl,VM10-1-9-207,00:05:24.378924,32550912.0
memory,used,VM10-1-9-207,00:05:24.378924,229306368.0
memory,buffered,VM10-1-9-207,00:05:34.379110,140664832.0
memory,cached,VM10-1-9-207,00:05:34.379110,3712782336.0
memory,free,VM10-1-9-207,00:05:34.379110,3942715392.0
memory,slab_recl,VM10-1-9-207,00:05:34.379110,317689856.0
memory,slab_unrecl,VM10-1-9-207,00:05:34.379110,32448512.0
memory,used,VM10-1-9-207,00:05:34.379110,229355520.0
memory,buffered,VM10-1-9-207,00:05:44.378898,140668928.0
memory,cached,VM10-1-9-207,00:05:44.378898,3712790528.0
memory,free,VM10-1-9-207,00:05:44.378898,3942686720.0
memory,slab_recl,VM10-1-9-207,00:05:44.378898,317689856.0
memory,slab_unrecl,VM10-1-9-207,00:05:44.378898,32473088.0
memory,used,VM10-1-9-207,00:05:44.378898,229347328.0
memory,buffered,VM10-1-9-207,00:05:54.379461,140685312.0
memory,cached,VM10-1-9-207,00:05:54.379461,3712798720.0
memory,free,VM10-1-9-207,00:05:54.379461,3946975232.0
memory,slab_recl,VM10-1-9-207,00:05:54.379461,317689856.0
memory,slab_unrecl,VM10-1-9-207,00:05:54.379461,32358400.0
memory,used,VM10-1-9-207,00:05:54.379461,225148928.0
