type,host,value,type_instance,time
memory,VM10-1-9-207,148799488.0,buffered,01:24:13.962101
memory,VM10-1-9-207,3747581952.0,cached,01:24:13.962101
memory,VM10-1-9-207,3885445120.0,free,01:24:13.962101
memory,VM10-1-9-207,322387968.0,slab_recl,01:24:13.962101
memory,VM10-1-9-207,35631104.0,slab_unrecl,01:24:13.962101
memory,VM10-1-9-207,235810816.0,used,01:24:13.962101
memory,VM10-1-9-207,148811776.0,buffered,01:24:14.735844
memory,VM10-1-9-207,3747594240.0,cached,01:24:14.735844
memory,VM10-1-9-207,3886657536.0,free,01:24:14.735844
memory,VM10-1-9-207,322461696.0,slab_recl,01:24:14.735844
memory,VM10-1-9-207,36020224.0,slab_unrecl,01:24:14.735844
memory,VM10-1-9-207,234110976.0,used,01:24:14.735844
