type_instance,value,type,host,instance,time
user,128105.0,cpu,VM10-1-9-207,0,01:24:13.961053
user,135284.0,cpu,VM10-1-9-207,1,01:24:13.961076
user,115995.0,cpu,VM10-1-9-207,2,01:24:13.961090
user,133582.0,cpu,VM10-1-9-207,3,01:24:13.961098
system,6146.0,cpu,VM10-1-9-207,0,01:24:13.961106
system,7951.0,cpu,VM10-1-9-207,1,01:24:13.961113
system,7800.0,cpu,VM10-1-9-207,2,01:24:13.961115
system,7214.0,cpu,VM10-1-9-207,3,01:24:13.961116
wait,3446.0,cpu,VM10-1-9-207,0,01:24:13.961117
wait,4443.0,cpu,VM10-1-9-207,1,01:24:13.961118
wait,4227.0,cpu,VM10-1-9-207,2,01:24:13.961120
wait,3703.0,cpu,VM10-1-9-207,3,01:24:13.961121
nice,32.0,cpu,VM10-1-9-207,0,01:24:13.961123
nice,0.0,cpu,VM10-1-9-207,1,01:24:13.961124
nice,7516.0,cpu,VM10-1-9-207,2,01:24:13.961125
nice,0.0,cpu,VM10-1-9-207,3,01:24:13.961126
interrupt,0.0,cpu,VM10-1-9-207,0,01:24:13.961128
interrupt,0.0,cpu,VM10-1-9-207,1,01:24:13.961129
interrupt,0.0,cpu,VM10-1-9-207,2,01:24:13.961130
interrupt,0.0,cpu,VM10-1-9-207,3,01:24:13.961131
softirq,241.0,cpu,VM10-1-9-207,0,01:24:13.961132
softirq,120.0,cpu,VM10-1-9-207,1,01:24:13.961133
softirq,237.0,cpu,VM10-1-9-207,2,01:24:13.961134
softirq,232.0,cpu,VM10-1-9-207,3,01:24:13.961136
steal,68.0,cpu,VM10-1-9-207,0,01:24:13.961137
steal,71.0,cpu,VM10-1-9-207,1,01:24:13.961138
steal,237.0,cpu,VM10-1-9-207,2,01:24:13.961139
steal,174.0,cpu,VM10-1-9-207,3,01:24:13.961140
idle,5932818.0,cpu,VM10-1-9-207,0,01:24:13.961141
idle,5922430.0,cpu,VM10-1-9-207,1,01:24:13.961143
idle,5930043.0,cpu,VM10-1-9-207,2,01:24:13.961143
idle,5924201.0,cpu,VM10-1-9-207,3,01:24:13.961145
user,128113.0,cpu,VM10-1-9-207,0,01:24:24.723527
user,135302.0,cpu,VM10-1-9-207,1,01:24:24.723552
user,116046.0,cpu,VM10-1-9-207,2,01:24:24.723555
user,133590.0,cpu,VM10-1-9-207,3,01:24:24.723575
system,6155.0,cpu,VM10-1-9-207,0,01:24:24.723578
system,7970.0,cpu,VM10-1-9-207,1,01:24:24.723593
system,7818.0,cpu,VM10-1-9-207,2,01:24:24.723594
system,7225.0,cpu,VM10-1-9-207,3,01:24:24.723595
wait,3452.0,cpu,VM10-1-9-207,0,01:24:24.723595
wait,4444.0,cpu,VM10-1-9-207,1,01:24:24.723596
wait,4228.0,cpu,VM10-1-9-207,2,01:24:24.723597
wait,3703.0,cpu,VM10-1-9-207,3,01:24:24.723597
nice,32.0,cpu,VM10-1-9-207,0,01:24:24.723598
nice,0.0,cpu,VM10-1-9-207,1,01:24:24.723598
nice,7516.0,cpu,VM10-1-9-207,2,01:24:24.723599
nice,0.0,cpu,VM10-1-9-207,3,01:24:24.723600
interrupt,0.0,cpu,VM10-1-9-207,0,01:24:24.723600
interrupt,0.0,cpu,VM10-1-9-207,1,01:24:24.723612
interrupt,0.0,cpu,VM10-1-9-207,2,01:24:24.723621
interrupt,0.0,cpu,VM10-1-9-207,3,01:24:24.723621
softirq,242.0,cpu,VM10-1-9-207,0,01:24:24.723622
softirq,120.0,cpu,VM10-1-9-207,1,01:24:24.723622
softirq,238.0,cpu,VM10-1-9-207,2,01:24:24.723623
softirq,232.0,cpu,VM10-1-9-207,3,01:24:24.723627
steal,68.0,cpu,VM10-1-9-207,0,01:24:24.723628
steal,71.0,cpu,VM10-1-9-207,1,01:24:24.723628
steal,237.0,cpu,VM10-1-9-207,2,01:24:24.723629
steal,174.0,cpu,VM10-1-9-207,3,01:24:24.723629
idle,5933866.0,cpu,VM10-1-9-207,0,01:24:24.723630
idle,5923466.0,cpu,VM10-1-9-207,1,01:24:24.723634
idle,5931045.0,cpu,VM10-1-9-207,2,01:24:24.723635
idle,5925256.0,cpu,VM10-1-9-207,3,01:24:24.723635
