type_instance,value,type,host,instance,time
user,128136.0,cpu,VM10-1-9-207,0,01:24:54.674322
user,136017.0,cpu,VM10-1-9-207,1,01:24:54.674323
user,116066.0,cpu,VM10-1-9-207,2,01:24:54.674324
user,133602.0,cpu,VM10-1-9-207,3,01:24:54.674325
system,6180.0,cpu,VM10-1-9-207,0,01:24:54.674326
system,8003.0,cpu,VM10-1-9-207,1,01:24:54.674328
system,7837.0,cpu,VM10-1-9-207,2,01:24:54.674328
system,7246.0,cpu,VM10-1-9-207,3,01:24:54.674337
wait,3465.0,cpu,VM10-1-9-207,0,01:24:54.674338
wait,4449.0,cpu,VM10-1-9-207,1,01:24:54.674339
wait,4230.0,cpu,VM10-1-9-207,2,01:24:54.674339
wait,3706.0,cpu,VM10-1-9-207,3,01:24:54.674339
nice,32.0,cpu,VM10-1-9-207,0,01:24:54.674340
nice,0.0,cpu,VM10-1-9-207,1,01:24:54.674344
nice,7516.0,cpu,VM10-1-9-207,2,01:24:54.674345
nice,0.0,cpu,VM10-1-9-207,3,01:24:54.674345
interrupt,0.0,cpu,VM10-1-9-207,0,01:24:54.674345
interrupt,0.0,cpu,VM10-1-9-207,1,01:24:54.674346
interrupt,0.0,cpu,VM10-1-9-207,2,01:24:54.674350
interrupt,0.0,cpu,VM10-1-9-207,3,01:24:54.674351
softirq,243.0,cpu,VM10-1-9-207,0,01:24:54.674351
softirq,121.0,cpu,VM10-1-9-207,1,01:24:54.674351
softirq,238.0,cpu,VM10-1-9-207,2,01:24:54.674352
softirq,232.0,cpu,VM10-1-9-207,3,01:24:54.674356
steal,68.0,cpu,VM10-1-9-207,0,01:24:54.674356
steal,71.0,cpu,VM10-1-9-207,1,01:24:54.674357
steal,237.0,cpu,VM10-1-9-207,2,01:24:54.674357
steal,174.0,cpu,VM10-1-9-207,3,01:24:54.674357
idle,5936792.0,cpu,VM10-1-9-207,0,01:24:54.674358
idle,5925702.0,cpu,VM10-1-9-207,1,01:24:54.674372
idle,5933991.0,cpu,VM10-1-9-207,2,01:24:54.674373
idle,5928212.0,cpu,VM10-1-9-207,3,01:24:54.674374
user,129136.0,cpu,VM10-1-9-207,0,01:25:04.673711
user,136018.0,cpu,VM10-1-9-207,1,01:25:04.673712
user,116066.0,cpu,VM10-1-9-207,2,01:25:04.673713
user,133602.0,cpu,VM10-1-9-207,3,01:25:04.673714
system,6180.0,cpu,VM10-1-9-207,0,01:25:04.673720
system,8003.0,cpu,VM10-1-9-207,1,01:25:04.673721
system,7838.0,cpu,VM10-1-9-207,2,01:25:04.673722
system,7248.0,cpu,VM10-1-9-207,3,01:25:04.673723
wait,3465.0,cpu,VM10-1-9-207,0,01:25:04.673723
wait,4449.0,cpu,VM10-1-9-207,1,01:25:04.673724
wait,4232.0,cpu,VM10-1-9-207,2,01:25:04.673725
wait,3706.0,cpu,VM10-1-9-207,3,01:25:04.673726
nice,32.0,cpu,VM10-1-9-207,0,01:25:04.673727
nice,0.0,cpu,VM10-1-9-207,1,01:25:04.673727
nice,7516.0,cpu,VM10-1-9-207,2,01:25:04.673728
nice,0.0,cpu,VM10-1-9-207,3,01:25:04.673729
interrupt,0.0,cpu,VM10-1-9-207,0,01:25:04.673730
interrupt,0.0,cpu,VM10-1-9-207,1,01:25:04.673731
interrupt,0.0,cpu,VM10-1-9-207,2,01:25:04.673731
interrupt,0.0,cpu,VM10-1-9-207,3,01:25:04.673732
softirq,243.0,cpu,VM10-1-9-207,0,01:25:04.673733
softirq,121.0,cpu,VM10-1-9-207,1,01:25:04.673734
softirq,238.0,cpu,VM10-1-9-207,2,01:25:04.673735
softirq,232.0,cpu,VM10-1-9-207,3,01:25:04.673735
steal,68.0,cpu,VM10-1-9-207,0,01:25:04.673736
steal,71.0,cpu,VM10-1-9-207,1,01:25:04.673737
steal,237.0,cpu,VM10-1-9-207,2,01:25:04.673738
steal,174.0,cpu,VM10-1-9-207,3,01:25:04.673738
idle,5936792.0,cpu,VM10-1-9-207,0,01:25:04.673739
idle,5926701.0,cpu,VM10-1-9-207,1,01:25:04.673740
idle,5934984.0,cpu,VM10-1-9-207,2,01:25:04.673741
idle,5929210.0,cpu,VM10-1-9-207,3,01:25:04.673742
user,130135.0,cpu,VM10-1-9-207,0,01:25:14.673321
user,136019.0,cpu,VM10-1-9-207,1,01:25:14.673330
user,116068.0,cpu,VM10-1-9-207,2,01:25:14.673342
user,133602.0,cpu,VM10-1-9-207,3,01:25:14.673364
system,6180.0,cpu,VM10-1-9-207,0,01:25:14.673381
system,8004.0,cpu,VM10-1-9-207,1,01:25:14.673394
system,7839.0,cpu,VM10-1-9-207,2,01:25:14.673399
system,7248.0,cpu,VM10-1-9-207,3,01:25:14.673400
wait,3465.0,cpu,VM10-1-9-207,0,01:25:14.673401
wait,4449.0,cpu,VM10-1-9-207,1,01:25:14.673402
wait,4234.0,cpu,VM10-1-9-207,2,01:25:14.673404
wait,3706.0,cpu,VM10-1-9-207,3,01:25:14.673404
nice,32.0,cpu,VM10-1-9-207,0,01:25:14.673405
nice,0.0,cpu,VM10-1-9-207,1,01:25:14.673405
nice,7516.0,cpu,VM10-1-9-207,2,01:25:14.673406
