type_instance,type,value,host,time
buffered,memory,161120256.0,VM10-1-9-207,03:08:02.437595
cached,memory,3794653184.0,VM10-1-9-207,03:08:02.437595
free,memory,3835109376.0,VM10-1-9-207,03:08:02.437595
slab_recl,memory,329871360.0,VM10-1-9-207,03:08:02.437595
slab_unrecl,memory,38756352.0,VM10-1-9-207,03:08:02.437595
used,memory,216145920.0,VM10-1-9-207,03:08:02.437595
buffered,memory,161173504.0,VM10-1-9-207,03:08:12.427048
cached,memory,3794644992.0,VM10-1-9-207,03:08:12.427048
free,memory,3829972992.0,VM10-1-9-207,03:08:12.427048
slab_recl,memory,329977856.0,VM10-1-9-207,03:08:12.427048
slab_unrecl,memory,39268352.0,VM10-1-9-207,03:08:12.427048
used,memory,220618752.0,VM10-1-9-207,03:08:12.427048
buffered,memory,161173504.0,VM10-1-9-207,03:08:22.426890
cached,memory,3794653184.0,VM10-1-9-207,03:08:22.426890
free,memory,3830001664.0,VM10-1-9-207,03:08:22.426890
slab_recl,memory,329932800.0,VM10-1-9-207,03:08:22.426890
slab_unrecl,memory,38957056.0,VM10-1-9-207,03:08:22.426890
used,memory,220938240.0,VM10-1-9-207,03:08:22.426890
buffered,memory,161173504.0,VM10-1-9-207,03:08:32.426892
cached,memory,3794657280.0,VM10-1-9-207,03:08:32.426892
free,memory,3830005760.0,VM10-1-9-207,03:08:32.426892
slab_recl,memory,329932800.0,VM10-1-9-207,03:08:32.426892
slab_unrecl,memory,39104512.0,VM10-1-9-207,03:08:32.426892
used,memory,220782592.0,VM10-1-9-207,03:08:32.426892
buffered,memory,161181696.0,VM10-1-9-207,03:08:42.427889
cached,memory,3794665472.0,VM10-1-9-207,03:08:42.427889
free,memory,3829813248.0,VM10-1-9-207,03:08:42.427889
slab_recl,memory,329932800.0,VM10-1-9-207,03:08:42.427889
slab_unrecl,memory,39018496.0,VM10-1-9-207,03:08:42.427889
used,memory,221044736.0,VM10-1-9-207,03:08:42.427889
buffered,memory,161189888.0,VM10-1-9-207,03:08:52.426892
cached,memory,3794677760.0,VM10-1-9-207,03:08:52.426892
free,memory,3829813248.0,VM10-1-9-207,03:08:52.426892
slab_recl,memory,329928704.0,VM10-1-9-207,03:08:52.426892
slab_unrecl,memory,39075840.0,VM10-1-9-207,03:08:52.426892
used,memory,220971008.0,VM10-1-9-207,03:08:52.426892
buffered,memory,161198080.0,VM10-1-9-207,03:09:02.426888
cached,memory,3794681856.0,VM10-1-9-207,03:09:02.426888
free,memory,3829841920.0,VM10-1-9-207,03:09:02.426888
slab_recl,memory,329924608.0,VM10-1-9-207,03:09:02.426888
slab_unrecl,memory,38731776.0,VM10-1-9-207,03:09:02.426888
used,memory,221278208.0,VM10-1-9-207,03:09:02.426888
buffered,memory,161202176.0,VM10-1-9-207,03:09:12.426899
cached,memory,3794690048.0,VM10-1-9-207,03:09:12.426899
free,memory,3829813248.0,VM10-1-9-207,03:09:12.426899
slab_recl,memory,329928704.0,VM10-1-9-207,03:09:12.426899
slab_unrecl,memory,38645760.0,VM10-1-9-207,03:09:12.426899
used,memory,221376512.0,VM10-1-9-207,03:09:12.426899
buffered,memory,161206272.0,VM10-1-9-207,03:09:22.426870
cached,memory,3794698240.0,VM10-1-9-207,03:09:22.426870
free,memory,3829587968.0,VM10-1-9-207,03:09:22.426870
slab_recl,memory,329920512.0,VM10-1-9-207,03:09:22.426870
slab_unrecl,memory,38522880.0,VM10-1-9-207,03:09:22.426870
used,memory,221720576.0,VM10-1-9-207,03:09:22.426870
buffered,memory,161206272.0,VM10-1-9-207,03:09:32.432118
cached,memory,3794706432.0,VM10-1-9-207,03:09:32.432118
free,memory,3828703232.0,VM10-1-9-207,03:09:32.432118
slab_recl,memory,329928704.0,VM10-1-9-207,03:09:32.432118
slab_unrecl,memory,39038976.0,VM10-1-9-207,03:09:32.432118
