type_instance,type,value,host,time
buffered,memory,160772096.0,VM10-1-9-207,03:05:26.908295
cached,memory,3794501632.0,VM10-1-9-207,03:05:26.908295
free,memory,3839008768.0,VM10-1-9-207,03:05:26.908295
slab_recl,memory,330240000.0,VM10-1-9-207,03:05:26.908295
slab_unrecl,memory,39759872.0,VM10-1-9-207,03:05:26.908295
used,memory,211374080.0,VM10-1-9-207,03:05:26.908295
buffered,memory,160825344.0,VM10-1-9-207,03:05:36.896824
cached,memory,3794522112.0,VM10-1-9-207,03:05:36.896824
free,memory,3835150336.0,VM10-1-9-207,03:05:36.896824
slab_recl,memory,330080256.0,VM10-1-9-207,03:05:36.896824
slab_unrecl,memory,39387136.0,VM10-1-9-207,03:05:36.896824
used,memory,215691264.0,VM10-1-9-207,03:05:36.896824
