Architecture,Application,N,User time (seconds),System time (seconds),Percent of CPU this job got,Elapsed (wall clock) time,Maximum resident set size (kbytes)
bare_metal,pi,5000,4.34,0.00,99%,0.04.36,10044
bare_metal,pi,10000,31.15,0.02,99%,0.31.21,10184
bare_metal,pi,15000,83.45,0.00,99%,1.23.56,10216
bare_metal,pi,20000,187.42,0.54,99%,3.08.14,10152
bare_metal,pi,25000,287.48,0.93,99%,4.48.74,10196
bare_metal,mm,500,0.36,0.05,99%,0.00.41,35984
bare_metal,mm,1000,3.91,0.03,99%,0.03.95,53376
bare_metal,mm,1500,57.53,0.05,99%,0.57.64,82604
bare_metal,mm,2000,153.32,0.07,99%,2.33.54,123652
bare_metal,mm,2500,303.92,0.10,99%,5.04.28,176152
docker,pi,5000,6.53,0.00,99%,0.06.54,10608
docker,pi,10000,46.38,0.03,99%,0.46.49,10540
docker,pi,15000,121.73,0.05,99%,2.01.88,10612
docker,pi,20000,274.90,0.38,99%,4.35.47,10532
docker,pi,25000,426.27,0.74,99%,7.07.24,10584
docker,mm,500,0.43,0.04,99%,0.00.48,34052
docker,mm,1000,3.46,0.05,99%,0.03.53,51868
docker,mm,1500,54.79,0.07,99%,0.54.95,80828
docker,mm,2000,138.09,0.08,99%,2.18.34,122112
docker,mm,2500,291.65,0.10,99%,4.52.12,174584
