type,host,time,type_instance,instance,value
cpu,VM10-1-9-207,00:31:57.516897,user,0,52737.0
cpu,VM10-1-9-207,00:31:57.516914,user,1,69701.0
cpu,VM10-1-9-207,00:31:57.516924,user,2,61496.0
cpu,VM10-1-9-207,00:31:57.516933,user,3,40876.0
cpu,VM10-1-9-207,00:31:57.516943,system,0,5784.0
cpu,VM10-1-9-207,00:31:57.516955,system,1,7412.0
cpu,VM10-1-9-207,00:31:57.516966,system,2,7180.0
cpu,VM10-1-9-207,00:31:57.516992,system,3,6800.0
cpu,VM10-1-9-207,00:31:57.516994,wait,0,3349.0
cpu,VM10-1-9-207,00:31:57.516994,wait,1,4380.0
cpu,VM10-1-9-207,00:31:57.516995,wait,2,4024.0
cpu,VM10-1-9-207,00:31:57.516996,wait,3,3621.0
cpu,VM10-1-9-207,00:31:57.516997,nice,0,32.0
cpu,VM10-1-9-207,00:31:57.517003,nice,1,0.0
cpu,VM10-1-9-207,00:31:57.517004,nice,2,7516.0
cpu,VM10-1-9-207,00:31:57.517005,nice,3,0.0
cpu,VM10-1-9-207,00:31:57.517006,interrupt,0,0.0
cpu,VM10-1-9-207,00:31:57.517009,interrupt,1,0.0
cpu,VM10-1-9-207,00:31:57.517015,interrupt,2,0.0
cpu,VM10-1-9-207,00:31:57.517016,interrupt,3,0.0
cpu,VM10-1-9-207,00:31:57.517018,softirq,0,206.0
cpu,VM10-1-9-207,00:31:57.517019,softirq,1,112.0
cpu,VM10-1-9-207,00:31:57.517020,softirq,2,220.0
cpu,VM10-1-9-207,00:31:57.517021,softirq,3,187.0
cpu,VM10-1-9-207,00:31:57.517027,steal,0,50.0
cpu,VM10-1-9-207,00:31:57.517032,steal,1,61.0
cpu,VM10-1-9-207,00:31:57.517033,steal,2,221.0
cpu,VM10-1-9-207,00:31:57.517034,steal,3,142.0
cpu,VM10-1-9-207,00:31:57.517035,idle,0,5695275.0
cpu,VM10-1-9-207,00:31:57.517035,idle,1,5675193.0
cpu,VM10-1-9-207,00:31:57.517036,idle,2,5672188.0
cpu,VM10-1-9-207,00:31:57.517061,idle,3,5704098.0
cpu,VM10-1-9-207,00:32:07.519790,user,0,53395.0
cpu,VM10-1-9-207,00:32:07.521180,user,1,69702.0
cpu,VM10-1-9-207,00:32:07.521550,user,2,61833.0
cpu,VM10-1-9-207,00:32:07.521570,user,3,40877.0
cpu,VM10-1-9-207,00:32:07.521676,system,0,5787.0
cpu,VM10-1-9-207,00:32:07.521783,system,1,7412.0
cpu,VM10-1-9-207,00:32:07.521844,system,2,7181.0
cpu,VM10-1-9-207,00:32:07.521908,system,3,6801.0
cpu,VM10-1-9-207,00:32:07.521922,wait,0,3349.0
cpu,VM10-1-9-207,00:32:07.521981,wait,1,4380.0
cpu,VM10-1-9-207,00:32:07.521995,wait,2,4024.0
cpu,VM10-1-9-207,00:32:07.522024,wait,3,3621.0
cpu,VM10-1-9-207,00:32:07.522225,nice,0,32.0
cpu,VM10-1-9-207,00:32:07.522273,nice,1,0.0
cpu,VM10-1-9-207,00:32:07.522286,nice,2,7516.0
cpu,VM10-1-9-207,00:32:07.522320,nice,3,0.0
cpu,VM10-1-9-207,00:32:07.522356,interrupt,0,0.0
cpu,VM10-1-9-207,00:32:07.522724,interrupt,1,0.0
cpu,VM10-1-9-207,00:32:07.522874,interrupt,2,0.0
cpu,VM10-1-9-207,00:32:07.522978,interrupt,3,0.0
cpu,VM10-1-9-207,00:32:07.522995,softirq,0,206.0
cpu,VM10-1-9-207,00:32:07.523013,softirq,1,112.0
cpu,VM10-1-9-207,00:32:07.523343,softirq,2,220.0
cpu,VM10-1-9-207,00:32:07.523486,softirq,3,187.0
cpu,VM10-1-9-207,00:32:07.523545,steal,0,51.0
cpu,VM10-1-9-207,00:32:07.523559,steal,1,61.0
cpu,VM10-1-9-207,00:32:07.523591,steal,2,221.0
cpu,VM10-1-9-207,00:32:07.523844,steal,3,142.0
cpu,VM10-1-9-207,00:32:07.523858,idle,0,5695613.0
cpu,VM10-1-9-207,00:32:07.523888,idle,1,5676190.0
cpu,VM10-1-9-207,00:32:07.523919,idle,2,5672849.0
cpu,VM10-1-9-207,00:32:07.523989,idle,3,5705093.0
cpu,VM10-1-9-207,00:32:17.516870,user,0,53643.0
cpu,VM10-1-9-207,00:32:17.516878,user,1,69702.0
cpu,VM10-1-9-207,00:32:17.516882,user,2,61834.0
cpu,VM10-1-9-207,00:32:17.516885,user,3,41627.0
cpu,VM10-1-9-207,00:32:17.516893,system,0,5788.0
cpu,VM10-1-9-207,00:32:17.516909,system,1,7413.0
cpu,VM10-1-9-207,00:32:17.516909,system,2,7183.0
cpu,VM10-1-9-207,00:32:17.516910,system,3,6804.0
cpu,VM10-1-9-207,00:32:17.516910,wait,0,3349.0
cpu,VM10-1-9-207,00:32:17.516910,wait,1,4380.0
cpu,VM10-1-9-207,00:32:17.516911,wait,2,4024.0
cpu,VM10-1-9-207,00:32:17.516911,wait,3,3621.0
cpu,VM10-1-9-207,00:32:17.516912,nice,0,32.0
cpu,VM10-1-9-207,00:32:17.516912,nice,1,0.0
cpu,VM10-1-9-207,00:32:17.516913,nice,2,7516.0
cpu,VM10-1-9-207,00:32:17.516914,nice,3,0.0
cpu,VM10-1-9-207,00:32:17.516914,interrupt,0,0.0
cpu,VM10-1-9-207,00:32:17.516915,interrupt,1,0.0
cpu,VM10-1-9-207,00:32:17.516922,interrupt,2,0.0
cpu,VM10-1-9-207,00:32:17.516923,interrupt,3,0.0
cpu,VM10-1-9-207,00:32:17.516924,softirq,0,206.0
cpu,VM10-1-9-207,00:32:17.516924,softirq,1,112.0
cpu,VM10-1-9-207,00:32:17.516925,softirq,2,220.0
cpu,VM10-1-9-207,00:32:17.516929,softirq,3,188.0
cpu,VM10-1-9-207,00:32:17.516930,steal,0,51.0
cpu,VM10-1-9-207,00:32:17.516931,steal,1,61.0
cpu,VM10-1-9-207,00:32:17.516931,steal,2,221.0
cpu,VM10-1-9-207,00:32:17.516932,steal,3,142.0
cpu,VM10-1-9-207,00:32:17.516932,idle,0,5696363.0
cpu,VM10-1-9-207,00:32:17.516936,idle,1,5677189.0
cpu,VM10-1-9-207,00:32:17.516937,idle,2,5673845.0
cpu,VM10-1-9-207,00:32:17.516937,idle,3,5705339.0
cpu,VM10-1-9-207,00:32:27.516854,user,0,53644.0
cpu,VM10-1-9-207,00:32:27.516861,user,1,69703.0
cpu,VM10-1-9-207,00:32:27.516874,user,2,62832.0
cpu,VM10-1-9-207,00:32:27.516877,user,3,41628.0
cpu,VM10-1-9-207,00:32:27.516882,system,0,5789.0
cpu,VM10-1-9-207,00:32:27.516885,system,1,7414.0
cpu,VM10-1-9-207,00:32:27.516886,system,2,7184.0
cpu,VM10-1-9-207,00:32:27.516886,system,3,6804.0
cpu,VM10-1-9-207,00:32:27.516887,wait,0,3349.0
cpu,VM10-1-9-207,00:32:27.516887,wait,1,4380.0
cpu,VM10-1-9-207,00:32:27.516888,wait,2,4024.0
cpu,VM10-1-9-207,00:32:27.516888,wait,3,3622.0
cpu,VM10-1-9-207,00:32:27.516889,nice,0,32.0
cpu,VM10-1-9-207,00:32:27.516889,nice,1,0.0
cpu,VM10-1-9-207,00:32:27.516890,nice,2,7516.0
cpu,VM10-1-9-207,00:32:27.516890,nice,3,0.0
cpu,VM10-1-9-207,00:32:27.516891,interrupt,0,0.0
cpu,VM10-1-9-207,00:32:27.516892,interrupt,1,0.0
cpu,VM10-1-9-207,00:32:27.516892,interrupt,2,0.0
cpu,VM10-1-9-207,00:32:27.516893,interrupt,3,0.0
cpu,VM10-1-9-207,00:32:27.516894,softirq,0,206.0
cpu,VM10-1-9-207,00:32:27.516895,softirq,1,112.0
cpu,VM10-1-9-207,00:32:27.516895,softirq,2,220.0
cpu,VM10-1-9-207,00:32:27.516896,softirq,3,188.0
