type,type_instance,host,time,value
memory,buffered,VM10-1-9-207,00:23:26.746770,142020608.0
memory,cached,VM10-1-9-207,00:23:26.746770,3713421312.0
memory,free,VM10-1-9-207,00:23:26.746770,3941687296.0
memory,slab_recl,VM10-1-9-207,00:23:26.746770,317816832.0
memory,slab_unrecl,VM10-1-9-207,00:23:26.746770,32366592.0
memory,used,VM10-1-9-207,00:23:26.746770,228343808.0
memory,buffered,VM10-1-9-207,00:23:36.719549,142127104.0
memory,cached,VM10-1-9-207,00:23:36.719549,3713974272.0
memory,free,VM10-1-9-207,00:23:36.719549,3905880064.0
memory,slab_recl,VM10-1-9-207,00:23:36.719549,318251008.0
memory,slab_unrecl,VM10-1-9-207,00:23:36.719549,34242560.0
memory,used,VM10-1-9-207,00:23:36.719549,261181440.0
