host,time,type_instance,value,type
VM10-1-9-207,01:58:01.227818,buffered,152756224.0,memory
VM10-1-9-207,01:58:01.227818,cached,3762499584.0,memory
VM10-1-9-207,01:58:01.227818,free,3890663424.0,memory
VM10-1-9-207,01:58:01.227818,slab_recl,324820992.0,memory
VM10-1-9-207,01:58:01.227818,slab_unrecl,36954112.0,memory
VM10-1-9-207,01:58:01.227818,used,207962112.0,memory
VM10-1-9-207,01:58:11.214471,buffered,152952832.0,memory
VM10-1-9-207,01:58:11.214471,cached,3762978816.0,memory
VM10-1-9-207,01:58:11.214471,free,3855798272.0,memory
VM10-1-9-207,01:58:11.214471,slab_recl,325238784.0,memory
VM10-1-9-207,01:58:11.214471,slab_unrecl,37773312.0,memory
VM10-1-9-207,01:58:11.214471,used,240914432.0,memory
VM10-1-9-207,01:58:21.214462,buffered,152997888.0,memory
VM10-1-9-207,01:58:21.214462,cached,3764641792.0,memory
VM10-1-9-207,01:58:21.214462,free,3854106624.0,memory
VM10-1-9-207,01:58:21.214462,slab_recl,325230592.0,memory
VM10-1-9-207,01:58:21.214462,slab_unrecl,37232640.0,memory
VM10-1-9-207,01:58:21.214462,used,241446912.0,memory
VM10-1-9-207,01:58:31.214467,buffered,153010176.0,memory
VM10-1-9-207,01:58:31.214467,cached,3764649984.0,memory
VM10-1-9-207,01:58:31.214467,free,3854143488.0,memory
VM10-1-9-207,01:58:31.214467,slab_recl,325210112.0,memory
VM10-1-9-207,01:58:31.214467,slab_unrecl,37007360.0,memory
VM10-1-9-207,01:58:31.214467,used,241635328.0,memory
VM10-1-9-207,01:58:41.214457,buffered,153018368.0,memory
VM10-1-9-207,01:58:41.214457,cached,3764658176.0,memory
VM10-1-9-207,01:58:41.214457,free,3854401536.0,memory
VM10-1-9-207,01:58:41.214457,slab_recl,325193728.0,memory
VM10-1-9-207,01:58:41.214457,slab_unrecl,36929536.0,memory
VM10-1-9-207,01:58:41.214457,used,241455104.0,memory
VM10-1-9-207,01:58:51.214563,buffered,153018368.0,memory
VM10-1-9-207,01:58:51.214563,cached,3764662272.0,memory
VM10-1-9-207,01:58:51.214563,free,3854524416.0,memory
VM10-1-9-207,01:58:51.214563,slab_recl,325201920.0,memory
VM10-1-9-207,01:58:51.214563,slab_unrecl,36663296.0,memory
VM10-1-9-207,01:58:51.214563,used,241586176.0,memory
VM10-1-9-207,01:59:01.214451,buffered,153034752.0,memory
VM10-1-9-207,01:59:01.214451,cached,3764674560.0,memory
VM10-1-9-207,01:59:01.214451,free,3854077952.0,memory
VM10-1-9-207,01:59:01.214451,slab_recl,325201920.0,memory
VM10-1-9-207,01:59:01.214451,slab_unrecl,37019648.0,memory
VM10-1-9-207,01:59:01.214451,used,241647616.0,memory
VM10-1-9-207,01:59:11.214454,buffered,153047040.0,memory
VM10-1-9-207,01:59:11.214454,cached,3764682752.0,memory
VM10-1-9-207,01:59:11.214454,free,3854176256.0,memory
VM10-1-9-207,01:59:11.214454,slab_recl,325185536.0,memory
VM10-1-9-207,01:59:11.214454,slab_unrecl,36855808.0,memory
VM10-1-9-207,01:59:11.214454,used,241709056.0,memory
VM10-1-9-207,01:59:21.214543,buffered,153059328.0,memory
VM10-1-9-207,01:59:21.214543,cached,3764686848.0,memory
VM10-1-9-207,01:59:21.214543,free,3854458880.0,memory
VM10-1-9-207,01:59:21.214543,slab_recl,325177344.0,memory
VM10-1-9-207,01:59:21.214543,slab_unrecl,36687872.0,memory
VM10-1-9-207,01:59:21.214543,used,241586176.0,memory
VM10-1-9-207,01:59:31.214451,buffered,153067520.0,memory
VM10-1-9-207,01:59:31.214451,cached,3764699136.0,memory
VM10-1-9-207,01:59:31.214451,free,3854589952.0,memory
VM10-1-9-207,01:59:31.214451,slab_recl,325185536.0,memory
VM10-1-9-207,01:59:31.214451,slab_unrecl,36605952.0,memory
VM10-1-9-207,01:59:31.214451,used,241508352.0,memory
VM10-1-9-207,01:59:41.214451,buffered,153071616.0,memory
VM10-1-9-207,01:59:41.214451,cached,3764707328.0,memory
VM10-1-9-207,01:59:41.214451,free,3854204928.0,memory
VM10-1-9-207,01:59:41.214451,slab_recl,325177344.0,memory
VM10-1-9-207,01:59:41.214451,slab_unrecl,36974592.0,memory
VM10-1-9-207,01:59:41.214451,used,241520640.0,memory
VM10-1-9-207,01:59:51.214446,buffered,153079808.0,memory
VM10-1-9-207,01:59:51.214446,cached,3764711424.0,memory
VM10-1-9-207,01:59:51.214446,free,3854479360.0,memory
VM10-1-9-207,01:59:51.214446,slab_recl,325156864.0,memory
VM10-1-9-207,01:59:51.214446,slab_unrecl,36855808.0,memory
VM10-1-9-207,01:59:51.214446,used,241373184.0,memory
VM10-1-9-207,02:00:01.214456,buffered,153092096.0,memory
VM10-1-9-207,02:00:01.214456,cached,3764719616.0,memory
VM10-1-9-207,02:00:01.214456,free,3854508032.0,memory
VM10-1-9-207,02:00:01.214456,slab_recl,325156864.0,memory
VM10-1-9-207,02:00:01.214456,slab_unrecl,36773888.0,memory
VM10-1-9-207,02:00:01.214456,used,241405952.0,memory
VM10-1-9-207,02:00:11.214450,buffered,153092096.0,memory
VM10-1-9-207,02:00:11.214450,cached,3764727808.0,memory
VM10-1-9-207,02:00:11.214450,free,3854733312.0,memory
VM10-1-9-207,02:00:11.214450,slab_recl,325152768.0,memory
VM10-1-9-207,02:00:11.214450,slab_unrecl,36536320.0,memory
VM10-1-9-207,02:00:11.214450,used,241414144.0,memory
VM10-1-9-207,02:00:21.214451,buffered,153092096.0,memory
VM10-1-9-207,02:00:21.214451,cached,3764740096.0,memory
VM10-1-9-207,02:00:21.214451,free,3854254080.0,memory
VM10-1-9-207,02:00:21.214451,slab_recl,325148672.0,memory
VM10-1-9-207,02:00:21.214451,slab_unrecl,36839424.0,memory
VM10-1-9-207,02:00:21.214451,used,241582080.0,memory
VM10-1-9-207,02:00:31.214453,buffered,153108480.0,memory
VM10-1-9-207,02:00:31.214453,cached,3764748288.0,memory
VM10-1-9-207,02:00:31.214453,free,3854286848.0,memory
VM10-1-9-207,02:00:31.214453,slab_recl,325144576.0,memory
VM10-1-9-207,02:00:31.214453,slab_unrecl,36753408.0,memory
VM10-1-9-207,02:00:31.214453,used,241614848.0,memory
VM10-1-9-207,02:00:41.214454,buffered,153108480.0,memory
VM10-1-9-207,02:00:41.214454,cached,3764752384.0,memory
VM10-1-9-207,02:00:41.214454,free,3854381056.0,memory
VM10-1-9-207,02:00:41.214454,slab_recl,325148672.0,memory
VM10-1-9-207,02:00:41.214454,slab_unrecl,36605952.0,memory
VM10-1-9-207,02:00:41.214454,used,241659904.0,memory
VM10-1-9-207,02:00:51.214480,buffered,153116672.0,memory
VM10-1-9-207,02:00:51.214480,cached,3764760576.0,memory
VM10-1-9-207,02:00:51.214480,free,3854573568.0,memory
VM10-1-9-207,02:00:51.214480,slab_recl,325144576.0,memory
VM10-1-9-207,02:00:51.214480,slab_unrecl,36524032.0,memory
VM10-1-9-207,02:00:51.214480,used,241537024.0,memory
VM10-1-9-207,02:01:01.214797,buffered,153124864.0,memory
VM10-1-9-207,02:01:01.214797,cached,3764772864.0,memory
VM10-1-9-207,02:01:01.214797,free,3854000128.0,memory
VM10-1-9-207,02:01:01.214797,slab_recl,325160960.0,memory
VM10-1-9-207,02:01:01.214797,slab_unrecl,36831232.0,memory
VM10-1-9-207,02:01:01.214797,used,241766400.0,memory
VM10-1-9-207,02:01:11.214758,buffered,153124864.0,memory
VM10-1-9-207,02:01:11.214758,cached,3764781056.0,memory
VM10-1-9-207,02:01:11.214758,free,3854258176.0,memory
