instance,time,value,host,type_instance,type
3,01:54:21.985715,7449.0,VM10-1-9-207,system,cpu
0,01:54:21.985719,3512.0,VM10-1-9-207,wait,cpu
3,01:54:21.985721,3756.0,VM10-1-9-207,wait,cpu
0,01:54:21.985722,32.0,VM10-1-9-207,nice,cpu
1,01:54:21.985722,0.0,VM10-1-9-207,nice,cpu
2,01:54:21.985723,7516.0,VM10-1-9-207,nice,cpu
3,01:54:21.985724,0.0,VM10-1-9-207,nice,cpu
0,01:54:21.985725,0.0,VM10-1-9-207,interrupt,cpu
1,01:54:21.985725,0.0,VM10-1-9-207,interrupt,cpu
2,01:54:21.985726,0.0,VM10-1-9-207,interrupt,cpu
3,01:54:21.985726,0.0,VM10-1-9-207,interrupt,cpu
0,01:54:21.985727,260.0,VM10-1-9-207,softirq,cpu
1,01:54:21.985728,130.0,VM10-1-9-207,softirq,cpu
2,01:54:21.985728,244.0,VM10-1-9-207,softirq,cpu
3,01:54:21.985729,243.0,VM10-1-9-207,softirq,cpu
0,01:54:21.985729,75.0,VM10-1-9-207,steal,cpu
1,01:54:21.985729,81.0,VM10-1-9-207,steal,cpu
2,01:54:21.985730,248.0,VM10-1-9-207,steal,cpu
3,01:54:21.985731,190.0,VM10-1-9-207,steal,cpu
0,01:54:21.985731,6072786.0,VM10-1-9-207,idle,cpu
1,01:54:21.985732,6044239.0,VM10-1-9-207,idle,cpu
2,01:54:21.985732,6083563.0,VM10-1-9-207,idle,cpu
3,01:54:21.985733,6070560.0,VM10-1-9-207,idle,cpu
0,01:54:36.962112,168497.0,VM10-1-9-207,user,cpu
1,01:54:36.962138,194130.0,VM10-1-9-207,user,cpu
2,01:54:36.962145,142656.0,VM10-1-9-207,user,cpu
3,01:54:36.962148,167591.0,VM10-1-9-207,user,cpu
0,01:54:36.962152,6408.0,VM10-1-9-207,system,cpu
1,01:54:36.962159,8329.0,VM10-1-9-207,system,cpu
2,01:54:36.962160,8117.0,VM10-1-9-207,system,cpu
3,01:54:36.962168,7464.0,VM10-1-9-207,system,cpu
0,01:54:36.962169,3515.0,VM10-1-9-207,wait,cpu
1,01:54:36.962173,4479.0,VM10-1-9-207,wait,cpu
2,01:54:36.962173,4360.0,VM10-1-9-207,wait,cpu
3,01:54:36.962174,3761.0,VM10-1-9-207,wait,cpu
0,01:54:36.962174,32.0,VM10-1-9-207,nice,cpu
1,01:54:36.962178,0.0,VM10-1-9-207,nice,cpu
2,01:54:36.962179,7516.0,VM10-1-9-207,nice,cpu
3,01:54:36.962180,0.0,VM10-1-9-207,nice,cpu
0,01:54:36.962180,0.0,VM10-1-9-207,interrupt,cpu
1,01:54:36.962181,0.0,VM10-1-9-207,interrupt,cpu
2,01:54:36.962185,0.0,VM10-1-9-207,interrupt,cpu
3,01:54:36.962186,0.0,VM10-1-9-207,interrupt,cpu
0,01:54:36.962186,261.0,VM10-1-9-207,softirq,cpu
1,01:54:36.962187,131.0,VM10-1-9-207,softirq,cpu
2,01:54:36.962187,245.0,VM10-1-9-207,softirq,cpu
3,01:54:36.962191,243.0,VM10-1-9-207,softirq,cpu
0,01:54:36.962192,75.0,VM10-1-9-207,steal,cpu
1,01:54:36.962192,81.0,VM10-1-9-207,steal,cpu
2,01:54:36.962193,248.0,VM10-1-9-207,steal,cpu
3,01:54:36.962193,190.0,VM10-1-9-207,steal,cpu
0,01:54:36.962194,6074259.0,VM10-1-9-207,idle,cpu
1,01:54:36.962198,6045378.0,VM10-1-9-207,idle,cpu
2,01:54:36.962198,6085037.0,VM10-1-9-207,idle,cpu
3,01:54:36.962199,6072025.0,VM10-1-9-207,idle,cpu
