type,host,time,type_instance,instance,value
cpu,VM10-1-9-207,00:14:25.458921,user,0,23774.0
cpu,VM10-1-9-207,00:14:25.458948,user,1,36146.0
cpu,VM10-1-9-207,00:14:25.458955,user,2,37722.0
cpu,VM10-1-9-207,00:14:25.458964,user,3,32623.0
cpu,VM10-1-9-207,00:14:25.458983,system,0,5621.0
cpu,VM10-1-9-207,00:14:25.458988,system,1,7247.0
cpu,VM10-1-9-207,00:14:25.458989,system,2,6978.0
cpu,VM10-1-9-207,00:14:25.458990,system,3,6640.0
cpu,VM10-1-9-207,00:14:25.458990,wait,0,3304.0
cpu,VM10-1-9-207,00:14:25.458991,wait,1,4365.0
cpu,VM10-1-9-207,00:14:25.458996,wait,2,3991.0
cpu,VM10-1-9-207,00:14:25.458997,wait,3,3554.0
cpu,VM10-1-9-207,00:14:25.458998,nice,0,32.0
cpu,VM10-1-9-207,00:14:25.458998,nice,1,0.0
cpu,VM10-1-9-207,00:14:25.458999,nice,2,7516.0
cpu,VM10-1-9-207,00:14:25.459004,nice,3,0.0
cpu,VM10-1-9-207,00:14:25.459006,interrupt,0,0.0
cpu,VM10-1-9-207,00:14:25.459006,interrupt,1,0.0
cpu,VM10-1-9-207,00:14:25.459007,interrupt,2,0.0
cpu,VM10-1-9-207,00:14:25.459008,interrupt,3,0.0
cpu,VM10-1-9-207,00:14:25.459013,softirq,0,191.0
cpu,VM10-1-9-207,00:14:25.459014,softirq,1,106.0
cpu,VM10-1-9-207,00:14:25.459014,softirq,2,216.0
cpu,VM10-1-9-207,00:14:25.459015,softirq,3,175.0
cpu,VM10-1-9-207,00:14:25.459015,steal,0,37.0
cpu,VM10-1-9-207,00:14:25.459016,steal,1,53.0
cpu,VM10-1-9-207,00:14:25.459021,steal,2,216.0
cpu,VM10-1-9-207,00:14:25.459022,steal,3,134.0
cpu,VM10-1-9-207,00:14:25.459023,idle,0,5619324.0
cpu,VM10-1-9-207,00:14:25.459023,idle,1,5603792.0
cpu,VM10-1-9-207,00:14:25.459024,idle,2,5591110.0
cpu,VM10-1-9-207,00:14:25.459028,idle,3,5607491.0
