type,type_instance,host,time,value
memory,buffered,VM10-1-9-207,00:14:15.471391,141262848.0
memory,cached,VM10-1-9-207,00:14:15.471391,3713081344.0
memory,free,VM10-1-9-207,00:14:15.471391,3945140224.0
memory,slab_recl,VM10-1-9-207,00:14:15.471391,317739008.0
memory,slab_unrecl,VM10-1-9-207,00:14:15.471391,32731136.0
memory,used,VM10-1-9-207,00:14:15.471391,225701888.0
memory,buffered,VM10-1-9-207,00:14:25.460303,141336576.0
memory,cached,VM10-1-9-207,00:14:25.460303,3713126400.0
memory,free,VM10-1-9-207,00:14:25.460303,3944349696.0
memory,slab_recl,VM10-1-9-207,00:14:25.460303,317767680.0
memory,slab_unrecl,VM10-1-9-207,00:14:25.460303,32624640.0
memory,used,VM10-1-9-207,00:14:25.460303,226451456.0
