instance,time,value,host,type_instance,type
0,01:46:37.486875,158804.0,VM10-1-9-207,user,cpu
1,01:46:37.486897,181992.0,VM10-1-9-207,user,cpu
2,01:46:37.486933,127642.0,VM10-1-9-207,user,cpu
3,01:46:37.486939,158876.0,VM10-1-9-207,user,cpu
0,01:46:37.486961,6349.0,VM10-1-9-207,system,cpu
1,01:46:37.487008,8274.0,VM10-1-9-207,system,cpu
2,01:46:37.487010,8063.0,VM10-1-9-207,system,cpu
3,01:46:37.487024,7420.0,VM10-1-9-207,system,cpu
0,01:46:37.487026,3512.0,VM10-1-9-207,wait,cpu
1,01:46:37.487027,4463.0,VM10-1-9-207,wait,cpu
2,01:46:37.487027,4348.0,VM10-1-9-207,wait,cpu
3,01:46:37.487028,3730.0,VM10-1-9-207,wait,cpu
0,01:46:37.487029,32.0,VM10-1-9-207,nice,cpu
1,01:46:37.487037,0.0,VM10-1-9-207,nice,cpu
2,01:46:37.487039,7516.0,VM10-1-9-207,nice,cpu
3,01:46:37.487040,0.0,VM10-1-9-207,nice,cpu
0,01:46:37.487041,0.0,VM10-1-9-207,interrupt,cpu
1,01:46:37.487042,0.0,VM10-1-9-207,interrupt,cpu
2,01:46:37.487050,0.0,VM10-1-9-207,interrupt,cpu
3,01:46:37.487052,0.0,VM10-1-9-207,interrupt,cpu
0,01:46:37.487052,256.0,VM10-1-9-207,softirq,cpu
1,01:46:37.487054,129.0,VM10-1-9-207,softirq,cpu
2,01:46:37.487054,242.0,VM10-1-9-207,softirq,cpu
3,01:46:37.487062,241.0,VM10-1-9-207,softirq,cpu
0,01:46:37.487064,74.0,VM10-1-9-207,steal,cpu
1,01:46:37.487065,79.0,VM10-1-9-207,steal,cpu
2,01:46:37.487066,244.0,VM10-1-9-207,steal,cpu
3,01:46:37.487066,186.0,VM10-1-9-207,steal,cpu
0,01:46:37.487067,6036095.0,VM10-1-9-207,idle,cpu
1,01:46:37.487092,6009692.0,VM10-1-9-207,idle,cpu
2,01:46:37.487094,6052216.0,VM10-1-9-207,idle,cpu
3,01:46:37.487095,6032910.0,VM10-1-9-207,idle,cpu
0,01:46:47.486735,159803.0,VM10-1-9-207,user,cpu
1,01:46:47.487051,181992.0,VM10-1-9-207,user,cpu
2,01:46:47.487334,127644.0,VM10-1-9-207,user,cpu
3,01:46:47.487335,158876.0,VM10-1-9-207,user,cpu
0,01:46:47.487336,6350.0,VM10-1-9-207,system,cpu
1,01:46:47.487337,8275.0,VM10-1-9-207,system,cpu
2,01:46:47.487338,8064.0,VM10-1-9-207,system,cpu
3,01:46:47.487339,7421.0,VM10-1-9-207,system,cpu
0,01:46:47.487340,3512.0,VM10-1-9-207,wait,cpu
1,01:46:47.487341,4463.0,VM10-1-9-207,wait,cpu
2,01:46:47.487342,4351.0,VM10-1-9-207,wait,cpu
3,01:46:47.487343,3730.0,VM10-1-9-207,wait,cpu
0,01:46:47.487344,32.0,VM10-1-9-207,nice,cpu
1,01:46:47.487345,0.0,VM10-1-9-207,nice,cpu
2,01:46:47.487345,7516.0,VM10-1-9-207,nice,cpu
3,01:46:47.487347,0.0,VM10-1-9-207,nice,cpu
0,01:46:47.487348,0.0,VM10-1-9-207,interrupt,cpu
1,01:46:47.487349,0.0,VM10-1-9-207,interrupt,cpu
2,01:46:47.487350,0.0,VM10-1-9-207,interrupt,cpu
3,01:46:47.487351,0.0,VM10-1-9-207,interrupt,cpu
0,01:46:47.487352,256.0,VM10-1-9-207,softirq,cpu
1,01:46:47.487353,129.0,VM10-1-9-207,softirq,cpu
2,01:46:47.487367,242.0,VM10-1-9-207,softirq,cpu
3,01:46:47.487368,241.0,VM10-1-9-207,softirq,cpu
0,01:46:47.487370,74.0,VM10-1-9-207,steal,cpu
1,01:46:47.487370,79.0,VM10-1-9-207,steal,cpu
2,01:46:47.487371,244.0,VM10-1-9-207,steal,cpu
3,01:46:47.487373,186.0,VM10-1-9-207,steal,cpu
0,01:46:47.487374,6036095.0,VM10-1-9-207,idle,cpu
1,01:46:47.487375,6010689.0,VM10-1-9-207,idle,cpu
2,01:46:47.487375,6053209.0,VM10-1-9-207,idle,cpu
3,01:46:47.487622,6033908.0,VM10-1-9-207,idle,cpu
0,01:46:57.486638,160803.0,VM10-1-9-207,user,cpu
1,01:46:57.486717,181992.0,VM10-1-9-207,user,cpu
2,01:46:57.486728,127645.0,VM10-1-9-207,user,cpu
3,01:46:57.487189,158876.0,VM10-1-9-207,user,cpu
0,01:46:57.487201,6350.0,VM10-1-9-207,system,cpu
1,01:46:57.487242,8275.0,VM10-1-9-207,system,cpu
2,01:46:57.487249,8064.0,VM10-1-9-207,system,cpu
3,01:46:57.487260,7423.0,VM10-1-9-207,system,cpu
0,01:46:57.487261,3512.0,VM10-1-9-207,wait,cpu
1,01:46:57.487262,4463.0,VM10-1-9-207,wait,cpu
2,01:46:57.487263,4351.0,VM10-1-9-207,wait,cpu
3,01:46:57.487263,3730.0,VM10-1-9-207,wait,cpu
0,01:46:57.487264,32.0,VM10-1-9-207,nice,cpu
1,01:46:57.487265,0.0,VM10-1-9-207,nice,cpu
