type,host,value,type_instance,time
memory,VM10-1-9-207,147111936.0,buffered,01:08:54.084897
memory,VM10-1-9-207,3745570816.0,cached,01:08:54.084897
memory,VM10-1-9-207,3895582720.0,free,01:08:54.084897
memory,VM10-1-9-207,321380352.0,slab_recl,01:08:54.084897
memory,VM10-1-9-207,35758080.0,slab_unrecl,01:08:54.084897
memory,VM10-1-9-207,230252544.0,used,01:08:54.084897
memory,VM10-1-9-207,147320832.0,buffered,01:09:04.071747
memory,VM10-1-9-207,3746025472.0,cached,01:09:04.071747
memory,VM10-1-9-207,3860652032.0,free,01:09:04.071747
memory,VM10-1-9-207,321720320.0,slab_recl,01:09:04.071747
memory,VM10-1-9-207,36196352.0,slab_unrecl,01:09:04.071747
memory,VM10-1-9-207,263741440.0,used,01:09:04.071747
memory,VM10-1-9-207,147349504.0,buffered,01:09:14.071654
memory,VM10-1-9-207,3747684352.0,cached,01:09:14.071654
memory,VM10-1-9-207,3859230720.0,free,01:09:14.071654
memory,VM10-1-9-207,321728512.0,slab_recl,01:09:14.071654
memory,VM10-1-9-207,35491840.0,slab_unrecl,01:09:14.071654
memory,VM10-1-9-207,264171520.0,used,01:09:14.071654
memory,VM10-1-9-207,147357696.0,buffered,01:09:24.071652
memory,VM10-1-9-207,3747692544.0,cached,01:09:24.071652
memory,VM10-1-9-207,3859554304.0,free,01:09:24.071652
memory,VM10-1-9-207,321716224.0,slab_recl,01:09:24.071652
memory,VM10-1-9-207,35115008.0,slab_unrecl,01:09:24.071652
memory,VM10-1-9-207,264220672.0,used,01:09:24.071652
memory,VM10-1-9-207,147361792.0,buffered,01:09:34.071658
memory,VM10-1-9-207,3747700736.0,cached,01:09:34.071658
memory,VM10-1-9-207,3859947520.0,free,01:09:34.071658
memory,VM10-1-9-207,321708032.0,slab_recl,01:09:34.071658
memory,VM10-1-9-207,34820096.0,slab_unrecl,01:09:34.071658
memory,VM10-1-9-207,264118272.0,used,01:09:34.071658
memory,VM10-1-9-207,147369984.0,buffered,01:09:44.071648
memory,VM10-1-9-207,3747708928.0,cached,01:09:44.071648
memory,VM10-1-9-207,3859595264.0,free,01:09:44.071648
memory,VM10-1-9-207,321708032.0,slab_recl,01:09:44.071648
memory,VM10-1-9-207,35254272.0,slab_unrecl,01:09:44.071648
memory,VM10-1-9-207,264019968.0,used,01:09:44.071648
