type_instance,value,type,host,instance,time
user,117674.0,cpu,VM10-1-9-207,0,01:09:04.069693
user,115454.0,cpu,VM10-1-9-207,1,01:09:04.069709
user,98698.0,cpu,VM10-1-9-207,2,01:09:04.069721
user,94416.0,cpu,VM10-1-9-207,3,01:09:04.069725
system,6064.0,cpu,VM10-1-9-207,0,01:09:04.069728
system,7826.0,cpu,VM10-1-9-207,1,01:09:04.069731
system,7646.0,cpu,VM10-1-9-207,2,01:09:04.069731
system,7061.0,cpu,VM10-1-9-207,3,01:09:04.069736
wait,3424.0,cpu,VM10-1-9-207,0,01:09:04.069737
wait,4404.0,cpu,VM10-1-9-207,1,01:09:04.069737
wait,4169.0,cpu,VM10-1-9-207,2,01:09:04.069737
wait,3691.0,cpu,VM10-1-9-207,3,01:09:04.069738
nice,32.0,cpu,VM10-1-9-207,0,01:09:04.069738
nice,0.0,cpu,VM10-1-9-207,1,01:09:04.069742
nice,7516.0,cpu,VM10-1-9-207,2,01:09:04.069743
nice,0.0,cpu,VM10-1-9-207,3,01:09:04.069744
interrupt,0.0,cpu,VM10-1-9-207,0,01:09:04.069744
interrupt,0.0,cpu,VM10-1-9-207,1,01:09:04.069745
interrupt,0.0,cpu,VM10-1-9-207,2,01:09:04.069758
interrupt,0.0,cpu,VM10-1-9-207,3,01:09:04.069759
softirq,228.0,cpu,VM10-1-9-207,0,01:09:04.069760
softirq,119.0,cpu,VM10-1-9-207,1,01:09:04.069760
softirq,230.0,cpu,VM10-1-9-207,2,01:09:04.069761
softirq,226.0,cpu,VM10-1-9-207,3,01:09:04.069764
steal,65.0,cpu,VM10-1-9-207,0,01:09:04.069765
steal,68.0,cpu,VM10-1-9-207,1,01:09:04.069766
steal,232.0,cpu,VM10-1-9-207,2,01:09:04.069766
steal,164.0,cpu,VM10-1-9-207,3,01:09:04.069767
idle,5852481.0,cpu,VM10-1-9-207,0,01:09:04.069767
idle,5851500.0,cpu,VM10-1-9-207,1,01:09:04.069775
idle,5856706.0,cpu,VM10-1-9-207,2,01:09:04.069776
idle,5872632.0,cpu,VM10-1-9-207,3,01:09:04.069776
user,117675.0,cpu,VM10-1-9-207,0,01:09:14.069664
user,115454.0,cpu,VM10-1-9-207,1,01:09:14.069750
user,98699.0,cpu,VM10-1-9-207,2,01:09:14.069764
user,95415.0,cpu,VM10-1-9-207,3,01:09:14.069775
system,6064.0,cpu,VM10-1-9-207,0,01:09:14.069788
system,7828.0,cpu,VM10-1-9-207,1,01:09:14.069798
system,7646.0,cpu,VM10-1-9-207,2,01:09:14.069823
system,7062.0,cpu,VM10-1-9-207,3,01:09:14.069824
wait,3424.0,cpu,VM10-1-9-207,0,01:09:14.069826
wait,4408.0,cpu,VM10-1-9-207,1,01:09:14.069827
