Architecture,Application,N,User time (seconds),System time (seconds),Percent of CPU this job got,Elapsed (wall clock) time,Maximum resident set size (kbytes)
bare_metal,pi,5000,4.10,0.00,99%,0.04.10,10048
bare_metal,pi,10000,30.78,0.01,99%,0.30.83,9884
bare_metal,pi,15000,83.17,0.01,99%,1.23.24,10228
bare_metal,pi,20000,183.75,0.46,99%,3.04.32,9968
bare_metal,pi,25000,285.75,0.96,99%,4.47.04,10224
bare_metal,mm,500,0.33,0.10,99%,0.00.43,35740
bare_metal,mm,1000,1.64,0.06,99%,0.01.71,53516
bare_metal,mm,1500,50.14,0.07,99%,0.50.26,82612
bare_metal,mm,2000,144.78,0.15,99%,2.25.07,123900
bare_metal,mm,2500,292.79,0.12,99%,4.53.11,176476
docker,pi,5000,6.55,0.02,99%,0.06.59,10548
docker,pi,10000,45.79,0.00,99%,0.45.82,10520
docker,pi,15000,121.83,0.01,99%,2.01.99,10512
docker,pi,20000,273.84,0.44,99%,4.34.52,10548
docker,pi,25000,426.90,0.82,99%,7.08.19,10568
docker,mm,500,0.40,0.02,100%,0.00.43,33828
docker,mm,1000,3.60,0.05,99%,0.03.67,51876
docker,mm,1500,53.91,0.10,99%,0.54.06,80920
docker,mm,2000,134.78,0.10,99%,2.15.00,121856
docker,mm,2500,286.58,0.19,99%,4.47.01,174560
